Word	Havg	StDev	FrqList
روشن	327	6.86	1.2618	1606
محرم	328	6.86	1.4570	2815
انصار	329	6.86	1.1608	4927
حضرات	330	6.86	1.3999	2426
دودھ	331	6.86	1.5388	2924
دوستوں	332	6.86	1.1608	3399
الاول	333	6.86	1.4570	3148
شرعي	334	6.86	1.2938	3605
شفيق	335	6.86	1.2779	6596
ابراہيم	336	6.86	1.5388	1207
پيار	337	6.86	1.4984	3511
علي	338	6.86	1.5780	197
عقل	339	6.86	1.3852	2086
صديقي	340	6.86	1.5780	3185
گلدستہ	341	6.86	1.3250	9680
يونيورسٹياں	342	6.86	1.2456	8017
سلامتي	343	6.86	1.3095	3404
ميلاد	344	6.86	1.3554	7494
تورات	345	6.86	1.7025	5318
ركعت	346	6.86	1.3554	6023
بزرگي	347	6.86	1.5388	8250
دارلحكومت	348	6.86	1.2938	2827
اخلاق	349	6.86	1.3554	2032
ادب	350	6.86	1.3999	627
بشارت	351	6.86	1.4144	5619
بيٹا	352	6.84	1.2513	962
جمال	353	6.84	1.1132	2283
سبزيوں	354	6.84	1.1132	7422
افضل	355	6.84	1.2675	3127
عليہم	356	6.84	1.4194	4644
فرمايا	357	6.84	1.2835	828
عثمانيہ	358	6.84	1.4337	1293
صاحبزادہ	359	6.84	1.2993	8360
طواف	360	6.84	1.3903	5752
كمپيوٹر	361	6.84	1.1843	1926
جواني	362	6.84	1.4896	3231
عظيم	363	6.84	1.4194	217
اقبال	364	6.84	1.3149	957
عبدالحق	365	6.84	1.5167	5933
صديقہ	366	6.84	1.4479	9942
دماغ	367	6.84	1.2675	1670
صالح	368	6.84	1.3303	3365
الذكر	369	6.84	1.4619	3173
محنت	370	6.84	1.5566	1658
فاتح	371	6.84	1.3456	1822
شعبان	372	6.84	1.3303	3407
الرحمہ	373	6.84	1.4337	9763
طيبہ	374	6.84	1.5032	4184
قدرت	375	6.84	1.7186	1684
محسن	376	6.84	1.3456	3537
احد	377	6.84	1.6333	3745
قوم	378	6.84	1.3756	605
طلباء	379	6.84	1.4758	3366
عنايت	380	6.84	1.2014	3054
ہمدردي	381	6.82	1.2070	5437
شاہجہان	382	6.82	1.2237	6976
سچايي	383	6.82	1.3045	4292
دمشق	384	6.82	1.4241	2000
تسبيح	385	6.82	1.5868	8755
افتاب	386	6.82	1.2403	2799
سچي	387	6.82	1.2728	4903
پھولوں	388	6.82	1.2403	4312
تعليمي	389	6.82	1.2728	982
شان	390	6.82	1.3200	1673
الانبياء	391	6.82	1.9555	9233
انحضور	392	6.82	1.6744	8713
بادشاہت	393	6.82	1.8260	2648
وفاداري	394	6.82	1.4384	5604
ذوالفقار	395	6.82	1.3805	2860
النساء	396	6.82	1.2403	5207
سوات	397	6.82	1.3354	3494
سلطان	398	6.82	1.3506	683
مشاعروں	399	6.82	1.1008	8186
اسكولوں	400	6.82	1.2070	6415
الكبير	401	6.82	1.3045	7344
نامور	402	6.82	1.2403	1659
خوشگوار	403	6.82	1.1373	4118
خلفاء	404	6.82	1.7692	4026
جمعہ	405	6.82	1.6123	2266
فردوس	406	6.82	1.3045	7623
پاسبان	407	6.82	1.1726	6797
بادشاہوں	408	6.82	1.3506	2902
چارسدہ	409	6.80	1.3248	7731
مدراس	410	6.80	1.2936	6051
تبليغي	411	6.80	1.4708	6006
اسمانوں	412	6.80	1.2936	6416
الحق	413	6.80	1.2778	2033
احسان	414	6.80	1.3702	3746
كتابوں	415	6.80	1.3248	1000
بيٹوں	416	6.80	1.2778	3322
اردو	417	6.80	1.4846	140
سرپرستي	418	6.80	1.2936	2889
شہداء	419	6.80	1.9691	8358
اسكول	420	6.80	1.4428	1792
راجہ	421	6.80	1.5253	2336
رفيع	422	6.80	1.3553	6349
عليم	423	6.80	1.3093	9094
خاوند	424	6.80	1.3248	6820
يوسف	425	6.80	1.3702	1174
پختون	426	6.80	1.2454	9527
شريف	427	6.80	1.3997	845
وعدہ	428	6.80	1.2122	2443
پركشش	429	6.80	1.2454	6799
ميٹھا	430	6.80	1.2289	9437
سخاوت	431	6.80	1.6537	5920
قرباني	432	6.80	1.6782	3632
كاميابياں	433	6.80	1.6036	6726
فتح	434	6.80	1.2289	422
محافظ	435	6.80	1.2936	4139
رشيد	436	6.80	1.2936	3463
نيك	437	6.80	1.3553	1940
امام	438	6.80	1.8406	565
علما	439	6.80	1.4428	3569
بيٹيوں	440	6.80	1.5386	8259
نگہبان	441	6.80	1.3997	8912
شمس	442	6.80	1.1429	2137
دارالسلطنت	443	6.80	1.1952	9039
منافع	444	6.80	1.5119	3959
گلگت	445	6.80	1.3851	2870
ايجادات	446	6.78	1.2002	6671
بادشاہي	447	6.78	1.3445	4508
سچے	448	6.78	1.5556	4079
الكلمہ	449	6.78	1.5022	7687
انٹرنيٹ	450	6.78	1.2982	3349
حق	451	6.78	1.5022	476
سچا	452	6.78	1.4469	5837
سلمان	453	6.78	1.2501	3725
عليه	454	6.78	1.3445	7955
قلم	455	6.78	1.3138	1646
رضوان	456	6.78	1.2824	6829
ابراہيمي	457	6.78	1.3445	6906
ترقي	458	6.78	1.2171	350
سلامت	459	6.78	1.4327	5838
دارالحكومت	460	6.78	1.1480	328
فضل	461	6.78	1.2501	1630
سكون	462	6.78	1.0934	3182
عظمت	463	6.78	1.3746	2096
عشق	464	6.78	1.3138	1833
شبنم	465	6.78	1.1480	6977
رزق	466	6.78	1.5158	7117
القدر	467	6.78	1.4609	5375
حقوق	468	6.78	1.2824	748
تہذيب	469	6.78	1.2501	934
سعودي	470	6.78	1.2337	1071
خزانے	471	6.78	1.1119	5162
مہذب	472	6.78	1.2501	5356
رحم	473	6.78	1.5022	2454
شاہين	474	6.78	1.2664	7269
كاروبار	475	6.78	1.1480	1550
ايجاد	476	6.78	1.2824	1546
شفا	477	6.76	1.3786	6033
سبزہ	478	6.76	1.3334	7256
مسلمہ	479	6.76	1.5059	3539
محترمہ	480	6.76	1.1877	5047
ڈاكٹر	481	6.76	1.3933	650
نوجوانوں	482	6.76	1.4647	3001
شہرت	483	6.76	1.1350	622
تحفہ	484	6.76	1.3024	5149
الحكم	485	6.76	1.3334	7684
مسعود	486	6.76	1.4223	2515
پروين	487	6.76	1.3486	8490
زوجہ	488	6.76	1.3180	5245
انعامات	489	6.76	1.1168	4826
صوفيا	490	6.76	1.7677	8136
مہرباني	491	6.76	1.2048	6165
ذہانت	492	6.76	1.1704	3724
جوانوں	493	6.76	1.1877	7577
طلبہ	494	6.76	1.2382	3333
بچپن	495	6.76	1.5194	1597
اكابرين	496	6.76	1.4786	6419
رستم	497	6.76	1.1704	7412
خودمختار	498	6.76	1.2707	3358
العلم	499	6.76	1.3933	8710
استقبال	500	6.76	1.2048	4772
شہاب	501	6.76	1.3334	3692
مشاہدات	502	6.76	1.1168	4598
لطيفہ	503	6.76	1.3486	4055
القادر	504	6.76	1.3486	9238
شير	505	6.76	1.5328	1285
بزرگوار	506	6.76	1.3180	6427
قيادت	507	6.76	1.2382	832
مضبوط	508	6.76	1.4507	1103
اصلاح	509	6.76	1.1877	1596
بيٹي	510	6.76	1.4078	1360
گلزار	511	6.76	1.2216	6736
حبيب	512	6.76	1.2867	2553
عرش	513	6.74	1.3674	7279
مفتي	514	6.74	1.6389	2131
عرفان	515	6.74	1.3063	4802
تجربات	516	6.74	1.0461	2006
امتوں	517	6.74	1.3219	9774
عدل	518	6.74	1.2906	3765
بہادر	519	6.74	1.5228	1916
جناح	520	6.74	1.3372	1999
روشني	521	6.74	1.2906	800
پسند	522	6.74	1.4259	552
باغ	523	6.74	1.1920	1650
نذير	524	6.74	1.2257	4215
ملكہ	525	6.74	1.3969	1446
چمن	526	6.74	1.1920	6017
الشان	527	6.74	1.3372	2717
بركت	528	6.74	1.4957	4618
علامہ	529	6.74	1.2747	1007
جہاد	530	6.74	1.5093	2078
مدرسے	531	6.74	1.4820	3438
عاليشان	532	6.74	1.2423	8590
دعوت	533	6.74	1.1214	1066
عورتيں	534	6.74	1.7591	3162
نوجواني	535	6.74	1.4401	8007
رشتے	536	6.74	1.2906	3947
بقرہ	537	6.74	1.4259	8732
جذبہ	538	6.74	1.2423	2157
نوكري	539	6.74	1.2423	4495
القدس	540	6.74	1.3674	9239
سورت	541	6.74	1.3219	1980
وطن	542	6.74	1.3674	814
مغفرت	543	6.74	1.4542	8657
شفاف	544	6.74	1.4115	4424
حوصلہ	545	6.74	1.6011	2254
قيوم	546	6.74	1.3219	8616
شہزادہ	547	6.74	1.4115	2619
خداوندي	548	6.74	1.8385	5630
ناياب	549	6.74	1.2257	4494
مبارك	550	6.74	1.3219	1560
ايجوكيشن	551	6.74	1.5361	6543
تكبير	552	6.74	1.5228	6560
پھل	553	6.74	1.2747	2496
بہاوالدين	554	6.74	1.2906	7368
عرب	555	6.74	1.2747	302
اخبار	556	6.74	1.1395	1187
پاسپورٹ	557	6.74	1.1572	9523
اساتذہ	558	6.74	1.6637	2901
خوبيوں	559	6.72	1.2296	4789
قدر	560	6.72	1.1436	604
حقيقي	561	6.72	1.5124	856
تفاسير	562	6.72	1.3407	8756
روزگار	563	6.72	1.2784	2805
پرندے	564	6.72	1.4148	4311
كاينات	565	6.72	1.2129	1405
خصوصيت	566	6.72	1.1959	1523
اشفاق	567	6.72	1.3559	7046
صلاحيتيں	568	6.72	1.2129	5927
سرسيد	569	6.72	1.1787	4638
شاعرانہ	570	6.72	1.0506	5489
امانت	571	6.72	1.2461	4505
سونا	572	6.72	1.2296	3662
تقوي	573	6.72	1.2943	4168
جج	574	6.72	1.2623	3983
شيريں	575	6.72	1.1256	7129
مدرسوں	576	6.72	1.3254	9426
بھروسہ	577	6.72	1.1787	5708
اچھا	578	6.72	1.3254	1451
حوصلے	579	6.72	1.2943	6451
تحفے	580	6.72	1.2296	9289
عمران	581	6.72	1.2623	2850
شہادت	582	6.72	1.7617	1176
ذہين	583	6.72	1.1073	4243
انسان	584	6.72	1.1959	371
ذكر	585	6.72	1.6167	312
جمشيد	586	6.72	1.1436	5321
امير	587	6.72	1.2296	667
رضاكارانہ	588	6.72	1.2784	7118
صوفيہ	589	6.72	1.5524	6983
صبر	590	6.72	1.5124	3331
دل	591	6.72	1.4291	447
ماسٹرز	592	6.72	1.2623	6875
مانسہرہ	593	6.72	1.4852	5766
ازاد	594	6.72	1.1436	332
احترام	595	6.72	1.3254	2446
بيٹياں	596	6.72	1.9171	5380
تقريب	597	6.72	1.0110	3597
جشن	598	6.72	1.1959	4625
كشمير	599	6.70	1.1995	1227
ستاروں	600	6.70	1.1650	1950
زينب	601	6.70	1.3590	5327
ممتاز	602	6.70	1.2495	946
واديوں	603	6.70	1.1294	5977
شہزادي	604	6.70	1.3740	4586
انسانيت	605	6.70	1.2976	2473
العالم	606	6.70	1.3590	9768
فنكار	607	6.70	1.3590	3464
بيوي	608	6.70	1.2657	1233
كروڑوں	609	6.70	1.3132	5105
كلمات	610	6.70	1.4033	3951
غزوہ	611	6.70	1.4463	2809
جنيد	612	6.70	1.1995	6569
ادم	613	6.70	1.4880	2110
حنفيہ	614	6.70	1.5682	9577
پہاڑياں	615	6.70	1.2164	6939
دنيا	616	6.70	1.1995	107
تشريف	617	6.70	1.2495	1755
پرنس	618	6.70	1.3132	5547
شيراز	619	6.70	1.1112	6847
گلستان	620	6.70	1.3132	6043
زندہ	621	6.70	1.3590	830
شعار	622	6.70	1.1112	5572
معراج	623	6.70	1.5419	3999
توبہ	624	6.70	1.4033	4939
شرافت	625	6.70	1.2657	6593
چراغ	626	6.70	1.1824	2906
مطالعہ	627	6.70	1.1995	666
راحت	628	6.70	1.3132	4738
ڈاكٹروں	629	6.70	1.2817	8791
صحت	630	6.70	1.6444	997
كامياب	631	6.70	1.2976	477
قابل	632	6.70	1.3740	277
قيام	633	6.70	1.1824	349
رومان	634	6.70	1.1112	8330
لباس	635	6.70	1.1995	1900
گريجويٹ	636	6.70	1.5682	7148
پشتون	637	6.70	1.2817	3862
بزرگان	638	6.70	1.7525	7363
اعزازات	639	6.70	1.6067	2186
قابليت	640	6.70	1.6690	3138
ستارے	641	6.70	1.2330	3158
تاج	642	6.70	1.4178	1587
الحاج	643	6.70	1.4178	7846
بہترين	644	6.68	1.2688	583
مقبول	645	6.68	1.2027	705
ہلال	646	6.68	1.3005	3962
اصطلاح	647	6.68	0.9781	532
امان	648	6.68	1.3619	2608
بشير	649	6.68	1.0774	4229
مشرق	650	6.68	1.4907	291
لندن	651	6.68	1.5576	560
اہلسنت	652	6.68	1.4061	5703
مہمانوں	653	6.68	1.4061	8905
شعوري	654	6.68	1.2027	6362
معاف	655	6.68	1.5444	3141
جمعرات	656	6.68	1.2688	5815
حديبيہ	657	6.68	1.2848	7402
وفا	658	6.68	1.3619	5057
العرب	659	6.68	1.2526	6537
راشد	660	6.68	1.2526	5025
الجديد	661	6.68	1.2848	8462
محفوظ	662	6.68	1.3619	598
شفاخانہ	663	6.68	1.2196	9934
روٹي	664	6.68	1.3005	4955
ملاقات	665	6.68	1.0962	1434
جوان	666	6.68	1.2688	2552
مزہ	667	6.68	1.1328	7480
العباد	668	6.68	1.3468	6917
فاروق	669	6.68	1.3161	2788
فتوحات	670	6.68	1.0583	2417
اپنے	671	6.68	1.1147	47
معاشرہ	672	6.68	1.4061	1939
انعام	673	6.68	1.3468	1349
ارشاد	674	6.68	1.3161	1860
ٹيليفون	675	6.68	1.2688	8517
كلثوم	676	6.68	1.3316	9119
نازل	677	6.68	1.1856	1481
خوشبو	678	6.68	1.1147	4790
نعتيہ	679	6.68	1.3468	8406
ميٹھے	680	6.68	1.1856	5597
معلوماتي	681	6.68	1.1328	7014
درست	682	6.68	1.3768	724
سورتوں	683	6.68	1.7664	4293
حفاظت	684	6.68	1.3161	1236
احساس	685	6.68	1.1507	1186
چترال	686	6.68	1.1147	1534
حفصہ	687	6.68	1.6092	9571
شاداب	688	6.66	1.2715	8823
رہنماوں	689	6.66	1.1713	2520
مالاكنڈ	690	6.66	1.1713	9146
حنيفہ	691	6.66	1.4792	4945
رہنما	692	6.66	1.3644	991
دلكشي	693	6.66	1.1537	6708
رضامند	694	6.66	1.0022	6582
خودمختاري	695	6.66	1.3342	5323
مزے	696	6.66	1.0994	7156
اسحاق	697	6.66	1.2224	2645
عقيدت	698	6.66	1.2390	2754
طلوع	699	6.66	1.3188	3367
نعمان	700	6.66	1.2715	9182
مكتب	701	6.66	1.2390	4812
مولوي	702	6.66	1.7567	2627
فرض	703	6.66	1.5066	1392
القاسم	704	6.66	1.4230	6787
حافظہ	705	6.66	1.2224	6104
پاور	706	6.66	1.2390	5144
دلچسپ	707	6.66	1.1537	2302
منزل	708	6.66	1.2390	1871
مشورے	709	6.66	1.2056	3342
ماجد	710	6.66	1.1537	5422
ڈالر	711	6.66	1.2875	1372
ٹرافي	712	6.66	1.3793	9834
الدين	713	6.66	1.4373	435
خواہشمند	714	6.66	1.2390	6576
حيا	715	6.66	1.8363	9316
مسرت	716	6.66	1.2554	6159
محل	717	6.66	1.1886	875
اچھے	718	6.66	1.4373	1850
جمعيت	719	6.66	1.1537	3010
لوح	720	6.66	1.5201	5349
عہد	721	6.66	1.1178	505
دارالخلافہ	722	6.66	1.3032	4171
