Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
astronaut,501,6.79,1.64,4.92,2.10,5.33,1.83,2
adventure,630,7.23,1.69,6.91,2.43,6.38,1.77,14
athletics,644,6.76,2.05,6.71,2.08,6.19,1.99,9
affection,7,7.90,0.99,6.10,2.56,5.20,2.35,18
autumn,29,5.93,1.83,4.87,2.45,4.93,1.62,22
afraid,8,2.42,1.56,6.67,2.35,5.25,3.08,57
avalanche,645,3.62,2.16,5.29,2.22,4.00,1.90,1
aggressive,9,5.58,1.31,6.17,2.48,6.50,1.68,17
avenue,646,5.15,1.23,4.40,1.85,5.05,1.57,46
agility,22,7.10,1.52,4.20,1.81,6.10,2.18,3
awed,30,6.35,1.50,6.05,2.16,4.75,2.27,5
agony,10,2.47,2.29,5.47,2.77,4.60,2.16,9
baby,31,7.71,1.49,6.25,2.49,4.56,2.94,62
agreement,631,6.74,1.52,4.89,1.94,6.47,1.98,106
bake,647,6.32,1.25,4.70,2.54,5.22,1.63,12
air,632,6.47,1.61,4.68,2.36,5.21,1.93,257
bandage,648,4.00,1.81,3.80,1.77,4.30,1.98,4
alcoholic,582,3.72,2.81,5.36,2.60,4.84,2.54,3
bankrupt,32,2.24,1.52,5.71,2.82,2.94,2.43,5
alert,11,5.55,1.64,6.65,2.60,6.55,1.64,33
banner,649,5.35,0.67,3.65,1.73,4.80,1.77,8
alien,633,6.36,1.65,5.77,1.93,4.32,2.10,16
bar,650,7.00,2.08,5.50,2.70,5.85,2.21,82
alimony,634,3.21,1.55,3.67,2.13,4.00,2.00,2
barrel,651,5.30,1.66,3.75,2.71,4.90,2.10,24
alive,635,6.60,2.48,5.35,2.72,6.80,1.94,57
basket,547,5.60,1.22,3.36,2.04,5.92,1.29,17
allergy,636,3.20,1.79,4.60,2.23,2.95,1.93,1
bastard,33,3.20,2.11,6.38,2.50,4.50,2.18,12
alley,637,4.76,1.76,4.62,1.91,4.38,1.28,8
bath,502,7.24,1.36,4.76,1.85,5.72,1.49,26
alone,12,3.07,2.34,4.13,2.72,3.87,2.45,195
bathroom,548,5.92,1.38,3.84,1.89,5.72,1.70,18
aloof,13,5.24,1.92,3.88,1.80,4.82,1.67,5
bathtub,652,6.64,1.68,5.36,2.26,5.73,1.88,4
ambition,14,5.95,1.99,5.85,2.70,6.20,2.26,19
beach,34,8.47,0.87,6.88,2.19,5.81,2.56,61
ambulance,15,3.00,1.33,6.60,1.78,3.80,2.49,6
beast,653,5.10,2.51,6.00,2.29,5.65,2.39,7
angel,16,6.80,2.35,5.30,2.83,4.40,2.07,18
beautiful,654,7.23,2.00,6.36,2.46,6.10,1.61,127
anger,17,2.87,1.25,6.73,2.31,5.47,2.23,48
beauty,35,7.47,1.13,5.60,2.16,5.33,1.50,71
bed,549,7.88,1.09,4.04,2.85,7.00,1.87,127
bright,671,7.05,1.61,5.45,2.21,6.15,1.14,87
bees,583,3.24,2.07,6.72,2.30,4.56,2.31,15
broken,672,3.50,2.26,5.39,2.45,4.17,1.98,63
beggar,36,3.95,2.04,4.00,1.92,4.60,2.19,2
brother,52,6.83,1.53,5.55,2.07,5.36,1.36,73
bench,655,4.56,1.34,3.33,1.78,5.06,1.59,35
brutal,53,3.25,1.94,5.65,2.60,5.20,2.09,7
bereavement,656,4.63,1.54,4.26,2.16,3.95,1.72,4
building,550,5.56,1.23,4.08,2.12,5.24,1.54,160
betray,37,1.85,1.14,7.17,2.08,5.75,1.91,4
bullet,673,4.20,1.96,5.45,1.99,5.20,2.40,28
beverage,657,6.80,1.54,5.55,2.37,5.80,2.04,5
bunny,54,6.71,1.05,4.38,2.60,4.88,2.06,1
bird,38,6.92,1.38,2.67,2.02,4.58,2.47,31
burdened,55,2.71,0.91,5.46,2.26,5.62,2.14,4
birthday,39,7.40,2.82,6.60,2.13,5.40,2.64,18
burial,56,2.62,1.85,4.64,2.56,3.92,1.98,11
black,543,5.92,1.38,4.54,2.21,5.88,1.57,203
burn,586,3.12,1.99,6.40,1.85,4.52,1.98,15
blackmail,40,3.00,1.56,5.20,2.78,3.00,2.26,2
bus,541,4.72,1.28,3.32,1.99,5.04,1.93,34
bland,658,4.10,1.02,3.45,2.19,4.95,1.23,3
busybody,674,4.81,1.21,4.29,1.93,4.57,1.60,.
blase,41,5.00,1.32,4.35,1.69,4.38,1.93,7
butter,57,5.40,0.97,3.30,1.77,4.50,1.08,27
blasphemy,659,3.65,2.11,4.55,2.37,4.75,1.83,4
butterfly,58,6.58,1.00,3.45,2.02,4.55,2.30,2
bless,42,6.35,2.18,4.12,2.29,5.29,2.05,9
cabinet,675,5.10,0.31,3.45,1.70,4.70,1.81,17
blind,43,2.71,1.83,3.69,2.18,3.06,1.91,47
cake,59,7.27,1.16,5.13,2.26,5.20,2.14,9
bliss,660,7.17,1.79,5.06,3.06,6.50,2.23,4
cancer,60,1.75,0.97,6.83,2.37,3.33,3.06,25
blister,661,3.48,1.91,3.81,2.11,4.38,1.99,3
candy,61,6.00,1.34,4.10,2.27,5.00,1.84,16
blond,662,6.64,2.44,6.05,2.79,6.00,2.05,11
cane,677,3.58,1.95,4.42,1.87,4.47,2.17,12
bloody,584,3.76,2.30,6.32,2.36,4.32,1.91,8
cannon,678,5.71,2.39,5.14,2.85,5.48,2.40,7
blossom,44,7.53,1.41,5.67,3.02,5.53,2.29,7
capable,62,7.00,1.31,5.60,1.68,5.73,1.98,66
blubber,663,3.83,2.09,4.56,2.15,4.50,1.92,1
car,551,7.84,1.28,5.64,2.16,6.60,2.10,274
blue,544,7.16,1.52,4.00,2.08,5.92,1.38,143
carcass,679,4.21,1.81,5.11,1.79,5.53,1.65,7
board,664,4.58,1.22,3.26,1.94,4.63,2.01,239
carefree,63,7.75,1.36,2.67,2.42,5.33,2.71,9
body,665,5.75,2.47,5.60,2.78,5.25,2.22,276
caress,64,7.58,1.31,4.50,3.32,6.08,1.93,1
bold,45,6.25,1.71,4.75,2.53,6.92,1.38,21
cash,503,8.28,0.94,7.08,2.77,6.76,2.31,36
bomb,46,2.70,1.16,6.70,2.41,4.60,1.35,36
casino,680,6.90,1.79,6.76,1.97,5.14,2.22,2
book,47,5.90,1.83,4.15,2.30,5.15,1.84,193
cat,504,5.33,2.60,4.08,2.32,6.54,2.00,.
bored,48,2.82,1.47,2.88,2.28,4.06,1.48,14
cell,587,3.33,1.93,3.67,2.44,4.12,2.36,65
bottle,666,6.09,1.54,5.45,1.90,4.68,1.78,76
cellar,681,4.45,1.57,4.30,2.45,4.90,1.94,26
bouquet,667,6.52,1.99,5.10,2.41,6.24,1.41,4
cemetery,65,3.42,1.38,4.45,2.25,4.73,2.05,15
bowl,49,4.80,0.63,3.40,2.12,5.00,1.56,23
chair,66,5.30,0.95,3.40,1.84,4.70,0.67,66
boxer,585,6.12,1.51,5.20,2.25,5.48,1.90,1
champ,682,7.22,1.40,6.22,1.48,6.28,1.87,1
boy,50,5.40,0.74,3.73,2.09,4.33,2.02,242
champion,67,8.42,1.08,4.83,3.43,6.08,3.45,23
brave,668,6.76,2.02,5.95,2.60,7.14,1.90,24
chance,683,6.42,1.61,5.63,2.43,4.74,1.76,131
breast,51,8.13,1.30,6.80,2.21,6.07,2.22,11
chaos,684,4.50,2.16,6.30,1.81,4.00,1.59,17
breeze,669,6.52,1.97,4.29,2.15,5.57,1.63,14
charm,68,6.67,1.63,5.47,2.42,5.87,1.96,26
bride,670,6.70,1.92,4.70,2.56,5.84,2.14,33
cheer,69,7.70,1.38,5.95,2.37,5.55,1.99,8
child,70,6.15,2.23,5.75,1.77,5.35,2.25,213
corrupt,702,4.15,2.54,5.05,2.35,4.90,2.22,8
chin,685,5.36,1.43,3.64,2.11,5.41,1.71,27
cottage,87,5.87,0.99,4.20,2.60,4.93,1.58,19
chocolate,505,6.80,1.83,4.88,2.67,5.36,2.06,9
couple,506,6.84,1.77,5.36,2.40,6.08,1.91,122
christmas,686,7.58,1.61,6.05,2.68,5.37,2.27,27
cow,554,5.72,1.62,3.12,2.13,5.80,1.41,29
church,71,5.29,2.67,4.69,3.09,4.62,2.90,348
coward,703,2.75,1.77,3.90,2.10,2.75,1.52,8
circle,687,5.30,1.17,3.65,1.93,5.16,1.30,60
cozy,88,7.53,1.36,3.73,2.34,4.67,2.23,1
circus,72,6.76,1.52,5.38,2.47,5.00,2.10,7
crash,89,2.60,1.51,7.00,2.26,4.00,2.11,20
city,73,5.67,1.50,4.53,2.07,4.53,1.73,393
crime,704,3.55,2.44,5.00,2.96,4.68,2.38,34
cliff,553,4.96,2.23,5.88,2.30,5.04,1.84,11
criminal,705,3.25,1.65,3.86,2.33,3.65,1.73,24
clock,688,4.86,1.73,3.95,2.38,4.59,1.76,20
crisis,706,4.17,2.43,4.89,2.79,4.72,1.96,82
clothing,74,5.93,2.16,4.15,2.91,5.33,2.06,20
crown,90,6.20,1.40,3.40,2.59,5.10,2.13,19
clouds,533,6.42,2.19,3.46,2.28,5.46,1.79,38
crucify,91,2.53,1.68,5.80,2.98,3.80,2.11,2
clumsy,689,4.06,2.07,4.78,2.29,4.06,1.73,6
crude,707,3.74,1.59,5.00,2.11,4.84,1.77,15
coarse,690,4.65,1.09,4.50,1.57,5.05,1.32,10
cruel,92,2.64,2.41,5.27,2.46,4.93,2.79,15
coast,691,6.06,1.70,4.83,2.46,5.71,1.79,61
crushed,93,2.83,2.29,5.73,2.69,4.73,3.10,10
cockroach,75,3.73,2.05,5.33,2.66,5.47,2.50,2
crutch,708,3.94,1.63,4.50,1.76,3.67,1.78,1
coffin,76,3.00,2.11,4.30,2.79,4.20,2.53,7
cuddle,94,7.30,2.15,5.10,2.69,5.75,2.29,.
coin,692,5.76,2.32,4.48,2.75,5.86,1.96,10
cuisine,709,6.89,1.64,4.83,1.95,5.50,1.34,1
cold,693,3.90,1.94,5.40,1.85,4.65,1.76,171
curious,95,6.80,1.23,5.80,2.10,5.70,1.95,46
color,694,7.05,1.65,4.63,2.71,6.32,1.97,141
curtains,710,5.00,0.58,3.65,1.98,5.11,1.49,8
column,695,5.15,1.04,3.70,2.05,5.25,1.71,71
custom,96,5.53,1.41,4.67,2.23,4.87,2.03,14
comedy,77,8.00,0.95,6.36,2.06,4.82,1.99,39
cut,711,3.70,1.89,4.75,2.49,4.90,2.17,192
comfort,696,6.45,2.21,4.35,2.87,5.70,2.08,43
cute,97,7.24,0.97,6.38,2.16,4.88,2.53,5
computer,552,6.12,1.92,4.52,2.06,5.08,2.06,13
cyclone,98,4.35,2.18,6.20,2.95,5.10,2.31,.
concentrate,78,4.83,1.11,4.73,1.62,4.82,1.47,11
dagger,99,4.53,1.81,5.47,2.87,4.47,1.84,1
confident,79,7.73,1.28,6.53,2.50,7.20,2.40,16
damage,712,3.70,1.75,5.05,2.26,4.20,1.99,33
confused,80,3.27,0.65,5.55,1.92,4.33,1.61,44
dancer,507,6.80,1.53,5.32,2.30,5.64,1.73,31
consoled,81,5.71,1.65,4.94,2.02,4.81,1.83,2
danger,713,4.56,2.33,7.17,1.65,4.56,2.33,70
contempt,82,4.20,1.87,4.90,0.88,5.50,1.18,15
dark,714,4.90,1.81,4.48,1.81,4.38,1.72,185
contents,83,4.73,1.03,4.07,2.28,4.87,1.19,16
dawn,715,6.10,2.49,4.35,2.78,4.95,2.72,28
context,84,5.20,1.47,4.35,1.87,4.90,0.91,2
daylight,716,6.56,2.28,5.17,2.04,5.61,2.15,15
controlling,85,4.53,2.26,5.60,2.13,6.07,2.84,23
dazzle,717,7.33,1.06,6.38,2.01,5.19,2.16,1
cook,697,6.05,1.22,4.21,1.72,5.42,1.43,47
dead,588,2.48,2.29,5.40,2.84,2.96,2.42,174
cord,698,4.95,1.31,3.84,1.95,5.00,1.46,6
death,100,1.69,1.14,4.41,2.87,4.62,2.25,277
cork,699,5.16,1.34,3.89,1.94,4.89,0.94,9
debt,101,2.40,1.12,4.33,2.66,3.00,2.20,13
corner,700,4.33,1.32,3.62,1.99,3.86,1.85,115
deceit,718,3.26,1.63,5.63,2.45,4.63,1.89,2
corpse,86,2.50,1.18,4.20,2.53,2.60,1.65,7
decompose,102,3.95,1.73,4.20,2.40,4.45,1.96,1
corridor,701,4.86,1.28,3.62,2.48,5.10,1.73,17
decorate,719,6.50,1.36,5.00,2.68,5.90,2.02,2
defeated,103,2.42,1.50,4.35,2.70,3.00,2.10,15
divorce,128,2.40,1.85,5.30,2.98,3.75,2.47,29
defiant,104,4.64,1.86,5.27,2.87,4.91,1.22,3
doctor,129,4.67,2.29,5.53,2.64,5.07,2.63,100
deformed,720,2.95,1.75,3.62,2.18,4.29,2.43,.
dog,511,7.68,1.65,5.40,2.99,6.44,2.08,75
delayed,721,3.15,2.01,5.10,2.17,3.40,1.60,25
doll,728,5.05,1.65,3.37,2.11,4.16,2.19,10
delight,105,7.92,1.31,5.73,2.49,5.09,2.02,29
dollar,729,7.24,2.05,6.43,2.27,6.86,2.20,46
demon,106,3.20,1.61,5.93,3.01,5.07,2.52,9
door,130,5.16,1.50,4.32,2.38,4.79,1.58,312
dentist,589,3.56,2.22,5.60,2.55,3.60,2.04,12
dove,730,6.45,1.47,4.55,1.79,6.00,1.62,4
depressed,107,2.33,1.45,4.00,2.33,2.87,1.68,11
dreadful,131,2.38,2.00,5.71,2.69,5.06,1.84,10
depression,108,2.60,2.21,4.55,3.05,2.90,2.07,24
dream,132,6.47,1.65,4.42,2.50,4.84,1.74,64
derelict,722,4.45,1.93,4.10,1.68,4.95,1.73,1
dreary,731,3.24,1.45,3.05,2.13,3.81,1.60,6
deserter,109,3.53,2.13,4.80,2.31,4.80,2.31,.
dress,133,5.87,0.99,4.67,1.72,4.60,1.64,67
desire,508,7.72,1.31,7.24,1.92,6.20,1.94,79
drown,591,1.96,1.72,6.68,2.64,2.76,1.98,3
despairing,110,2.93,2.05,5.60,2.41,4.07,2.25,4
dummy,732,3.00,1.34,4.38,2.18,3.48,1.86,3
despise,111,2.08,1.19,5.86,2.35,5.38,2.40,7
dump,733,3.71,2.03,4.38,2.48,4.05,1.80,4
destroy,112,4.00,2.75,6.30,2.91,6.10,2.42,48
dustpan,555,4.24,1.74,3.36,1.82,5.40,1.68,.
destruction,723,4.78,2.46,6.17,2.53,5.11,2.00,38
earth,134,6.79,1.72,4.08,2.10,6.69,2.10,150
detached,113,3.82,2.04,4.19,2.51,3.73,1.91,12
easy,734,7.09,2.11,5.55,2.39,7.18,1.59,125
detail,724,5.73,1.49,4.36,2.36,5.45,1.60,72
easygoing,135,6.75,1.42,4.00,2.56,5.08,1.83,1
detest,114,2.80,1.55,5.80,2.20,5.80,2.10,1
eat,136,8.00,1.32,6.60,2.29,6.00,2.17,61
devil,115,2.59,2.12,5.06,2.73,5.82,2.60,25
ecstasy,735,8.14,1.13,7.82,1.44,7.10,1.79,6
devoted,116,7.10,1.45,5.70,1.77,4.90,2.64,51
education,137,6.55,1.36,5.60,2.44,5.85,1.81,214
diamond,117,7.92,1.38,5.00,2.97,5.36,2.76,8
egg,736,5.11,1.63,3.63,2.54,4.26,2.38,12
dignified,118,6.82,1.01,3.41,1.97,6.06,2.49,7
elated,138,7.47,1.51,6.20,2.11,5.53,2.72,3
dinner,509,7.48,1.19,5.52,2.40,6.48,1.78,91
elbow,737,4.90,0.45,3.70,2.00,4.80,1.77,10
diploma,119,7.64,1.12,5.64,2.25,6.42,2.47,.
elegant,139,7.08,1.56,4.92,2.97,5.50,2.35,14
dirt,725,4.41,1.92,3.41,2.34,4.95,2.36,43
elevator,738,5.10,0.64,3.57,2.09,4.00,1.59,12
dirty,590,3.88,2.44,5.21,2.75,4.83,2.50,36
embarrassed,140,3.93,2.12,5.87,2.42,3.47,2.67,8
disappoint,120,2.60,1.50,4.60,2.59,3.53,2.20,.
embattled,141,5.00,2.16,5.90,2.23,5.10,2.38,1
disaster,121,2.25,1.33,6.05,2.54,3.65,1.90,26
employment,147,5.73,2.05,5.33,2.02,4.60,1.59,47
discomfort,726,2.41,1.50,3.73,2.29,3.68,2.57,7
engaged,143,7.33,1.50,6.07,1.91,6.20,1.66,47
discouraged,122,3.00,1.00,4.00,2.33,3.20,1.52,15
engine,148,5.27,1.49,4.93,2.19,5.13,1.41,50
disdainful,123,3.93,1.71,4.67,1.76,4.87,1.81,2
enjoyment,145,7.70,1.22,5.70,2.70,6.35,1.42,21
disgusted,124,2.60,1.45,4.47,2.47,4.80,1.66,6
ennui,146,5.17,1.64,3.92,2.43,5.00,1.65,.
disloyal,125,2.38,1.50,5.82,2.63,4.81,2.46,2
enraged,149,2.30,1.64,7.90,2.13,7.70,2.45,1
displeased,126,2.76,2.17,4.81,2.40,4.75,1.98,7
erotic,512,8.16,1.07,7.72,1.81,7.04,1.90,8
distressed,127,2.00,0.63,6.42,2.15,5.00,1.90,4
errand,150,4.36,1.78,4.00,1.91,5.62,1.45,7
disturb,727,3.67,1.75,5.72,1.96,4.06,1.35,10
event,740,6.41,1.92,5.59,2.52,5.73,2.03,81
diver,510,6.60,1.63,4.96,2.49,5.20,1.91,1
evil,741,4.33,2.70,6.56,2.36,6.17,1.58,72
excellence,151,8.30,0.82,4.70,2.26,7.40,2.17,15
foam,756,5.45,1.67,4.25,2.24,5.10,1.59,37
excitement,152,6.87,2.36,6.93,2.43,5.60,1.84,32
food,514,7.88,0.97,5.40,2.47,6.72,2.03,147
excuse,153,3.82,1.88,4.88,2.64,3.71,2.31,27
foot,757,5.06,0.80,3.50,1.86,5.17,1.72,70
execution,154,3.27,2.46,5.53,2.77,4.27,2.22,15
fork,560,5.48,1.08,4.04,2.21,5.83,1.27,14
exercise,155,6.93,1.91,7.13,2.20,6.07,2.74,58
foul,169,2.94,1.14,5.18,2.53,4.71,1.69,4
fabric,742,5.21,1.44,3.95,1.82,4.79,1.44,15
fragrance,170,6.24,1.35,5.75,2.46,5.62,1.82,6
face,556,6.12,1.76,4.76,2.37,5.28,1.51,371
fraud,171,2.70,1.70,5.30,1.89,4.70,2.63,8
failure,156,2.27,1.22,4.00,2.54,2.67,1.95,89
free,172,7.83,1.85,5.09,3.02,5.73,2.57,260
fall,743,3.86,2.22,4.81,2.54,4.29,2.15,147
freedom,173,7.53,1.62,6.25,2.05,6.38,2.06,128
FALSE,744,3.24,1.58,3.27,2.23,4.38,1.66,29
friend,174,7.18,1.07,6.38,1.96,6.25,2.02,133
fame,157,7.92,1.31,5.17,3.01,6.50,2.28,18
friendly,175,8.29,0.99,4.77,2.42,6.15,2.48,61
family,158,7.50,1.79,5.00,2.64,6.00,1.86,331
frigid,758,3.44,1.34,4.61,2.62,4.44,1.85,5
famous,745,7.39,1.20,6.11,2.47,6.61,2.06,89
frog,176,5.87,1.25,4.80,2.18,5.60,1.59,1
fantasy,746,7.39,1.50,6.00,2.45,6.72,1.93,14
frustrated,177,2.70,1.56,5.55,2.61,3.70,1.98,10
farm,557,5.40,1.98,3.60,1.94,5.68,1.70,125
fun,759,8.21,1.36,7.11,2.00,6.79,1.84,44
fascinate,159,7.13,2.23,6.07,2.60,5.67,1.63,3
funeral,178,1.64,0.84,4.00,2.77,2.71,2.30,33
fat,160,2.94,2.11,2.82,1.47,5.56,2.76,60
fungus,179,3.83,1.19,4.18,2.09,4.36,1.80,2
father,161,6.80,2.18,5.47,2.97,3.80,2.91,383
fur,180,5.50,1.68,3.55,2.38,4.82,2.14,13
fatigued,162,3.56,1.26,2.69,1.99,4.35,2.21,3
game,760,7.58,0.77,6.32,2.11,5.74,1.82,123
fault,747,3.14,1.58,3.73,1.91,4.09,2.00,22
gangrene,181,2.73,2.15,5.93,2.91,3.60,2.38,.
favor,748,6.58,1.54,4.89,1.91,5.44,1.89,78
garbage,182,3.45,1.99,4.30,2.54,4.75,1.74,7
fear,592,3.75,2.45,6.71,2.48,3.88,2.36,127
garden,761,6.43,1.91,4.76,2.26,6.19,1.54,60
fearful,163,2.10,0.99,5.50,2.32,3.50,1.78,13
garment,762,5.47,1.26,3.95,2.17,4.84,2.03,6
feeble,164,3.59,1.70,3.94,2.44,2.88,1.65,8
garter,534,6.92,1.53,6.08,2.14,6.04,1.54,2
festive,749,7.26,1.33,6.63,2.14,5.67,2.40,2
gender,763,5.60,1.05,4.35,2.18,5.58,1.92,2
fever,750,3.05,1.61,3.80,1.82,3.68,1.77,19
gentle,183,6.90,1.37,2.90,2.08,4.70,2.41,27
field,558,6.08,1.26,4.04,2.26,5.68,1.77,274
germs,764,2.90,1.30,4.29,2.24,3.90,1.51,1
fight,751,4.81,2.73,6.90,2.36,5.71,2.39,98
gift,184,6.60,2.82,5.27,2.87,5.13,2.85,33
filth,165,3.12,1.93,3.94,1.53,4.50,1.55,2
girl,185,7.60,1.57,5.85,2.52,5.85,1.98,220
finger,752,5.29,1.42,4.05,2.16,5.24,2.00,40
glacier,186,5.67,1.18,4.53,1.85,4.80,1.97,1
fire,166,4.20,1.48,6.50,2.32,5.20,1.40,187
glamour,187,6.13,1.77,4.60,2.23,5.60,2.23,5
fireworks,513,7.80,1.12,6.56,2.16,5.56,2.06,5
glass,765,4.50,1.72,4.44,2.18,5.28,1.84,99
fish,559,6.20,2.22,3.84,2.53,6.48,1.73,35
gloom,188,2.08,1.44,4.17,2.69,4.00,2.00,14
flabby,167,4.16,1.80,3.68,2.31,4.37,1.26,.
glory,189,7.40,1.59,6.13,2.39,7.00,2.00,21
flag,753,5.90,1.89,5.40,2.19,5.65,1.98,16
god,190,8.35,1.18,6.10,2.86,5.85,3.15,318
flirt,754,7.48,1.03,6.90,1.64,6.45,2.06,1
gold,191,7.92,1.00,6.45,2.16,5.73,2.10,52
flood,755,3.75,1.52,5.90,2.02,3.90,2.34,19
golfer,535,5.76,2.13,3.84,2.53,5.68,1.84,3
flower,168,6.06,1.53,4.60,2.23,4.73,1.75,23
good,766,7.33,1.28,5.05,3.09,5.78,1.99,807
gossip,767,3.75,2.02,5.10,2.22,3.90,1.86,13
heaven,205,7.07,2.34,6.53,2.83,6.20,2.31,43
graduate,192,8.00,1.37,7.56,2.03,6.69,2.94,30
hell,788,2.85,1.69,4.65,2.37,3.90,2.36,95
grass,768,5.85,1.27,4.85,1.93,5.55,1.39,53
helpless,206,2.20,1.21,4.87,2.59,2.53,1.88,21
grateful,193,7.33,0.82,4.27,1.75,6.20,1.61,25
heroin,789,3.85,2.35,4.45,2.98,4.20,2.55,2
greed,769,4.14,2.22,5.38,2.33,5.24,2.51,3
hide,207,5.07,1.67,4.47,2.50,4.27,2.43,22
green,194,5.30,2.00,4.80,2.44,4.20,1.99,116
highway,562,6.04,1.67,4.80,2.60,5.64,1.98,40
greet,770,6.95,1.47,5.29,1.98,6.24,1.84,7
hinder,790,3.86,1.64,4.09,1.93,4.18,1.68,.
grenade,771,3.90,1.92,5.48,2.54,4.76,2.34,3
history,208,6.00,1.79,4.12,2.18,5.19,2.07,286
grief,195,1.80,1.40,4.70,2.83,4.40,2.41,10
hit,594,5.44,2.16,5.40,2.43,5.67,2.08,115
grime,772,3.95,1.18,4.37,2.31,4.72,1.41,.
holiday,791,7.30,2.36,7.10,2.29,6.90,1.80,17
grin,773,6.89,2.16,5.70,2.87,6.32,2.00,13
home,209,7.71,1.96,4.29,2.73,6.35,2.29,547
gripe,774,3.25,1.41,4.95,2.33,4.25,1.97,.
honest,210,7.21,1.53,5.71,1.44,5.21,2.19,47
guillotine,196,4.00,2.45,6.25,2.77,5.00,1.95,.
honey,792,6.53,1.87,4.53,2.14,5.68,1.42,25
guilty,197,2.75,1.29,5.05,2.80,3.50,1.70,29
honor,211,7.60,1.18,6.13,1.51,6.14,2.35,66
gun,593,4.72,2.57,7.08,1.96,4.36,2.97,118
hooker,793,4.53,2.46,6.00,2.13,6.11,2.23,.
gymnast,515,6.44,1.73,4.48,2.28,5.32,1.86,1
hope,794,6.67,1.57,4.84,2.57,5.32,2.26,178
habit,775,4.15,1.53,3.85,1.81,4.40,2.01,23
hopeful,212,7.07,1.03,6.27,1.22,5.47,1.92,12
hairdryer,561,4.88,0.78,3.80,1.66,5.24,0.78,.
horror,213,3.18,2.32,6.44,2.13,4.62,2.47,17
hairpin,776,5.40,1.57,3.50,2.48,5.11,1.56,1
horse,214,5.60,0.97,3.50,1.78,4.20,1.32,117
hamburger,777,6.95,1.51,4.95,2.24,5.58,0.96,6
hospital,215,5.05,1.85,5.00,2.41,4.80,1.67,110
hammer,198,4.75,1.25,4.65,2.35,5.25,2.20,9
hostage,216,2.25,1.59,5.50,3.00,3.20,2.46,2
hand,778,5.84,1.34,4.60,2.16,5.84,1.42,431
hostile,217,3.33,1.63,6.80,2.04,5.73,2.96,19
handicap,779,3.62,2.06,3.68,2.46,4.14,2.56,6
hotel,795,6.67,1.41,5.26,2.66,5.33,2.06,126
handsome,199,7.50,1.51,4.42,2.87,5.58,2.87,40
house,563,7.29,1.55,4.04,2.58,6.38,1.84,591
haphazard,780,3.64,1.50,3.68,2.17,4.14,1.98,2
hug,218,7.67,0.98,5.55,2.21,5.27,1.68,3
happy,200,8.25,1.39,7.00,2.73,6.73,2.28,98
humane,796,6.17,1.76,4.83,1.34,5.67,1.57,5
hard,781,5.68,2.00,5.42,2.19,5.84,2.09,202
humble,219,6.00,1.58,3.53,2.35,5.06,2.30,18
hardship,782,3.00,1.75,4.70,2.23,5.15,2.18,9
humiliate,797,2.20,1.15,6.35,2.30,2.90,1.92,.
hat,783,5.58,1.39,4.53,2.12,5.47,1.50,56
humor,220,8.20,0.92,4.30,2.45,5.20,2.15,47
hate,201,2.92,2.31,7.33,2.35,5.42,2.68,42
