Word	Havg	StDev	FreqList
ممتازة	62	7.76	1.0214	3470
الإحتفال	63	7.76	1.0412	9524
بالسعادة	64	7.76	1.1877	8810
تحبك	65	7.76	1.3486	5629
الحرية	66	7.76	1.2048	2411
متعة	67	7.76	1.0984	5586
الأمان	68	7.74	1.1920	3954
السعيدة	69	7.74	1.4682	6288
الجميلات	70	7.74	0.9858	7133
أجازة	71	7.72	1.1787	8141
الرائعة	72	7.72	0.9697	2838
الرب	73	7.70	1.3439	812
ربحت	74	7.70	1.2976	3122
جميلة	75	7.70	1.2495	321
والدتك	76	7.70	1.2817	1635
ممتعة	77	7.70	1.1824	2654
رائعون	78	7.70	1.0546	7482
حبك	79	7.70	1.4178	3910
الورود	80	7.68	1.1856	8596
الاحتفال	81	7.68	1.0774	7715
الام	82	7.68	1.8120	7273
يفوز	83	7.68	1.0583	5410
ممتع	84	7.68	0.9134	2345
ينجح	85	7.68	1.1147	2789
والدى	86	7.68	1.3619	3515
الفائز	87	7.68	1.0190	3244
امى	88	7.66	1.5201	2189
يحبك	89	7.66	1.5334	3886
حفلة	90	7.66	1.1537	793
لأمي	91	7.66	1.4086	8312
الصلاة	92	7.66	1.4086	8391
أبي	93	7.66	1.3940	159
مسرور	94	7.66	1.3494	1914
ربي	95	7.64	1.6383	5591
محظوظين	96	7.64	0.9848	7712
يحب	97	7.64	1.0254	988
الاطفال	98	7.64	1.4107	1842
يحبني	99	7.64	1.2578	6203
والداي	100	7.64	1.3962	6623
رائعين	101	7.62	0.9666	5634
حفلات	102	7.62	1.1409	6234
زفاف	103	7.62	1.5104	4392
فائز	104	7.62	1.3686	9144
أحبه	105	7.62	1.1229	2603
طفلك	106	7.62	1.1761	5355
فاز	107	7.60	1.2122	5364
نحتفل	108	7.60	0.9897	5925
تحبني	109	7.60	1.1952	3446
الكنز	110	7.60	1.1606	5617
رومانسية	111	7.60	1.1952	9444
نتزوج	112	7.60	1.1952	7459
الخير	113	7.60	1.1429	341
الشاطىء	114	7.60	1.1066	8626
الحفلة	115	7.60	0.9897	1309
عائلتى	116	7.60	1.3401	5997
أطفالك	117	7.60	1.3093	8846
الالعاب	118	7.60	1.0498	8702
الهدية	119	7.58	0.8593	7618
أحبها	120	7.58	1.1622	3092
رائعه	121	7.58	1.1968	2542
سعدت	122	7.58	1.1796	3100
لذيذ	123	7.58	0.9278	3301
الزهور	124	7.56	1.1457	2910
المحظوظ	125	7.56	1.1278	8902
قمر	126	7.56	1.3726	8620
أصدقاء	127	7.56	1.1457	861
الهدايا	128	7.56	1.0721	5803
ممتعا	129	7.56	1.1808	5482
والديك	130	7.56	1.3874	4876
يحبها	131	7.56	1.3273	8280
جذابة	132	7.56	1.1457	6510
تفوز	133	7.56	1.2149	6547
فزت	134	7.56	1.3577	3976
الصداقة	135	7.56	1.1278	7146
العائلة	136	7.56	1.3118	1014
سروري	137	7.56	1.0333	4673
ربحنا	138	7.56	1.2643	9119
ابنتى	139	7.54	1.3881	5582
عيد	140	7.54	1.4598	363
جميله	141	7.54	1.0919	2549
نجح	142	7.54	1.2651	4303
الاصدقاء	143	7.54	1.0730	8663
الأصدقاء	144	7.52	1.0925	2093
عبقري	145	7.52	1.1648	4032
احبها	146	7.52	1.2162	7663
رب	147	7.52	1.5151	6343
زواجي	148	7.52	1.4032	9652
والدك	149	7.52	1.4032	609
الجميله	150	7.52	0.9739	9826
قبلة	151	7.52	1.1822	2651
محبوب	152	7.52	1.0736	9574
ابني	153	7.52	1.3738	1464
شجاعة	154	7.52	1.1648	5563
المتعة	155	7.52	1.3130	3418
الحفله	156	7.50	1.1995	9932
تبتسم	157	7.50	0.9949	6710
الجائزة	158	7.50	1.1824	4708
إبنك	159	7.50	1.3887	3582
ناجحة	160	7.50	1.3132	9241
فاتنة	161	7.50	1.1294	8571
حبى	162	7.50	1.4321	9547
الزواج	163	7.50	1.2817	879
الحفلات	164	7.50	1.1473	5546
ثروة	165	7.50	1.2657	4956
أستمتع	166	7.50	1.2817	5561
الرائع	167	7.50	1.2164	1923
الذكي	168	7.50	1.1824	7930
هدية	169	7.50	1.1112	1303
مضحكا	170	7.50	1.2817	7227
أحببت	171	7.50	1.1650	2900
الرومانسية	172	7.50	1.1995	9134
هدايا	173	7.48	1.1471	7398
صديق	174	7.48	1.0736	568
تهانينا	175	7.48	1.1648	2697
والدي	176	7.48	1.4320	908
زهور	177	7.48	1.0925	6537
نكتة	178	7.48	1.2329	4280
جائزة	179	7.48	1.1110	3626
تزوج	180	7.48	1.1648	9660
أحب	181	7.48	1.1292	307
استمتعت	182	7.48	1.2162	7553
الألعاب	183	7.48	1.1993	2985
جميل	184	7.48	1.0925	288
وردة	185	7.48	1.0736	9708
حفله	186	7.46	1.3881	8059
طفلي	187	7.46	1.2488	3084
تزوجت	188	7.46	1.2488	3752
اصدقاء	189	7.46	1.1643	3255
تحب	190	7.46	1.0539	600
الجميل	191	7.46	1.1104	1720
احبه	192	7.46	1.1817	7598
وأمي	193	7.46	1.4028	9050
بابا	194	7.46	1.5414	2244
عائلتي	195	7.44	1.2803	1640
ابنك	196	7.44	1.4591	2530
طفلتي	197	7.44	1.2480	5110
محظوظون	198	7.44	0.9293	8980
تنجح	199	7.44	1.0910	3810
الصحة	200	7.44	1.2480	6324
عظيم	201	7.44	1.0134	309
تربح	202	7.44	1.2480	6441
إبني	203	7.44	1.3577	1787
صديقى	204	7.44	1.1095	1417
حلوة	205	7.44	0.9071	6567
للروعة	206	7.42	1.1445	8045
مهرجان	207	7.42	1.1082	8369
ذكاء	208	7.42	1.1968	7585
أحببتها	209	7.42	1.4995	7067
بطل	210	7.42	1.1265	1516
جميلا	211	7.42	1.0120	4962
الحلوة	212	7.42	1.1796	9952
أطفال	213	7.42	1.1622	888
ملاك	214	7.42	1.2631	4354
فخورة	215	7.42	1.2950	4664
الصديق	216	7.42	1.0515	5292
ابى	217	7.42	1.2631	1690
أحببته	218	7.42	1.2469	6712
رضيع	219	7.42	1.1796	4218
ابنتي	220	7.42	1.3262	1743
أغنياء	221	7.42	1.1445	9207
تحبينه	222	7.42	1.1445	6967
النصر	223	7.42	1.2792	4230
لذيذة	224	7.40	1.0880	5869
مذهل	225	7.40	1.1429	1810
كنز	226	7.40	1.3401	8322
الرحمة	227	7.40	1.1429	4785
تهاني	228	7.40	1.3093	9803
أبى	229	7.40	1.5518	697
اللطيف	230	7.40	1.2617	3139
طفلة	231	7.40	1.1066	2371
أطفالنا	232	7.40	1.3702	9780
للأطفال	233	7.40	1.0690	4509
محظوظ	234	7.40	1.2122	1567
ابي	235	7.40	1.3248	820
نحب	236	7.40	1.1249	3798
أصدقائي	237	7.40	1.2617	1667
أم	238	7.40	1.3997	254
ألعاب	239	7.40	1.2778	4617
حرية	240	7.40	1.3702	7158
أولادي	241	7.40	1.3553	9482
الذكاء	242	7.40	1.1780	5842
السلام	243	7.40	1.3553	1615
جمال	244	7.38	1.2271	2880
تحبها	245	7.38	1.5504	3996
عاشق	246	7.38	1.2436	8065
زواج	247	7.38	1.5635	3848
وسيم	248	7.38	1.0859	3077
العروس	249	7.38	1.1045	5589
الحفل	250	7.38	1.1933	2644
تحبه	251	7.36	1.1021	4084
العاب	252	7.36	1.1911	9426
رحمة	253	7.36	1.3365	6816
نزهة	254	7.36	1.1739	6997
أبوك	255	7.36	1.6132	3151
محمد	256	7.36	1.6874	1836
الأب	257	7.36	1.7468	1504
الطفل	258	7.36	1.0835	536
فخور	259	7.36	0.9638	2521
أجمل	260	7.36	1.1021	2278
احب	261	7.36	1.4813	930
حفل	262	7.36	1.2081	1768
القمر	263	7.34	1.4514	1477
الملاك	264	7.34	1.2390	6300
رومانسي	265	7.34	1.2224	7827
أمك	266	7.34	1.7215	784
الأبطال	267	7.34	1.0616	6807
اصدقائي	268	7.34	1.2390	7587
البطل	269	7.34	1.1886	2044
يسعدني	270	7.34	1.2390	5054
أتزوج	271	7.34	1.1886	8070
ذكي	272	7.34	1.1359	2088
الربيع	273	7.34	1.1713	3815
الثقة	274	7.34	1.1178	3031
امل	275	7.34	1.4373	7458
عائلة	276	7.34	1.3940	762
أخى	277	7.34	1.4230	2591
صحة	278	7.32	1.3768	6786
السلامة	279	7.32	1.1507	789
العدل	280	7.32	1.3915	5159
والد	281	7.32	1.5178	2648
مرتاح	282	7.32	1.1328	7534
تتزوج	283	7.32	1.4907	4887
محظوظة	284	7.32	1.0774	4012
صادق	285	7.32	1.3005	4491
الحمد	286	7.32	1.3619	3889
خير	287	7.32	1.1147	1424
الأزهار	288	7.32	1.1147	8979
يحبون	289	7.32	0.9355	2960
الشجاعة	290	7.30	0.9091	2791
طفل	291	7.30	1.1650	564
راحة	292	7.30	1.2817	3332
ابنتك	293	7.30	1.4178	3033
أصدقائك	294	7.30	1.3887	2643
الذهب	295	7.30	1.1824	2219
احسنت	296	7.30	1.2976	8954
المجوهرات	297	7.30	1.3590	7240
ذكية	298	7.30	1.2164	3196
عبقرية	299	7.30	1.1650	9675
شروق	300	7.30	1.0738	7159
الاب	301	7.30	1.5017	6008
ام	302	7.30	1.5551	892
صغيرتي	303	7.30	1.2495	3657
لطيف	304	7.30	1.3590	441
الأسرة	305	7.30	1.3740	9751
امك	306	7.30	1.6690	2467
الأخوة	307	7.30	1.3439	8488
ظريف	308	7.30	1.1112	4504
زوجتي	309	7.30	1.4743	757
البطولة	310	7.28	1.0506	4086
الزوجة	311	7.28	1.2461	6613
اجازة	312	7.28	1.2461	7537
الزهرة	313	7.28	1.2784	8845
شاطئ	314	7.28	1.2129	6872
الأفضل	315	7.28	1.0698	322
الآباء	316	7.28	1.1959	7345
تحبين	317	7.28	1.3407	2081
حلو	318	7.28	1.1787	7829
مزاح	319	7.28	1.1787	8012
موهبة	320	7.28	0.9906	5163
الحلوى	321	7.28	1.0110	2566
العدالة	322	7.26	1.4259	3352
غنى	323	7.26	1.3674	8161
الجمال	324	7.26	1.3969	2151
المزاح	325	7.26	1.2423	7728
الشهرة	326	7.26	1.1395	9907
عائلتنا	327	7.26	1.3063	6270
سينجح	328	7.26	1.0844	9603
هديه	329	7.26	1.1214	9335
عزيزتي	330	7.26	1.1572	280
أصحاب	331	7.26	1.1747	4266
الأمل	332	7.26	1.3063	3026
استمتع	333	7.26	1.5093	3958
إبنتك	334	7.26	1.3063	6446
غني	335	7.26	1.1395	4004
صديقتى	336	7.26	1.4820	6643
اطفال	337	7.26	1.3372	3641
عزيزى	338	7.24	1.1704	1717
مخلص	339	7.24	1.0412	9353
المثالية	340	7.24	1.3486	7579
لعبة	341	7.24	1.2382	761
اجمل	342	7.24	1.0984	8637
اللطيفة	343	7.24	0.9381	8444
مرحى	344	7.24	1.0984	4327
أحرار	345	7.24	1.1168	9891
صديقة	346	7.24	1.1704	1581
للفوز	347	7.24	1.1168	8863
صديقتك	348	7.24	1.2382	2218
زوجتك	349	7.24	1.3486	962
شجاع	350	7.24	1.1528	4748
ترقية	351	7.24	1.2216	9074
حلوى	352	7.24	1.2216	3315
الابن	353	7.24	1.2048	8078
العظيم	354	7.24	1.3180	1445
آمنة	355	7.24	1.0412	4545
برافو	356	7.22	1.3746	6041
إحترام	357	7.22	1.1657	8684
عظيمة	358	7.22	1.0746	1372
اصدقائك	359	7.22	1.2337	7218
الأطفال	360	7.22	1.4327	429
نظيف	361	7.22	1.1301	3512
بارعة	362	7.22	1.1301	8282
محترم	363	7.22	1.2171	5382
عائله	364	7.22	1.3893	9195
اخى	365	7.22	1.2171	5275
مصر	366	7.20	2.0404	5649
أختى	367	7.20	1.2617	8169
والأطفال	368	7.20	1.3093	9080
ابنى	369	7.20	1.3997	5109
الحياة	370	7.20	1.3093	262
السباحة	371	7.20	1.1606	2820
متزوج	372	7.20	1.4428	3161
زوجة	373	7.20	1.3553	1382
الدولارات	374	7.20	1.3248	6074
الغناء	375	7.20	1.2778	3723
الطفلة	376	7.20	1.0690	3256
الإيمان	377	7.20	1.3248	6340
إبنتي	378	7.20	1.3553	3986
أحسنت	379	7.20	1.2122	1704
البيتزا	380	7.20	1.3248	4331
اللعب	381	7.20	1.0880	1167
عائلتك	382	7.20	1.4142	1962
الإحترام	383	7.20	1.0880	5108
أخ	384	7.18	1.3506	3160
أبطال	385	7.18	1.3506	7644
ربح	386	7.18	1.2403	5867
امزح	387	7.18	1.2403	5402
إجازة	388	7.18	1.2887	3665
أب	389	7.18	1.4097	2982
لطيفا	390	7.18	1.0631	4943
صديقتي	391	7.18	1.0631	2130
حديقة	392	7.18	1.0631	3182
صحيحة	393	7.18	1.3200	3431
صادقة	394	7.18	1.0631	7742
أميرة	395	7.18	1.0821	5168
المهرج	396	7.18	1.4241	8868
اخي	397	7.18	1.6622	3382
أمزح	398	7.18	1.0821	1756
الأخ	399	7.18	1.3045	4795
الذهبي	400	7.18	1.2728	5253
جواز	401	7.18	1.5996	4570
مدهش	402	7.18	1.2567	1900
الهى	403	7.18	1.6123	1774
استمتعتم	404	7.18	1.0240	9710
مرحبا	405	7.16	1.1132	130
العزيزة	406	7.16	1.2513	6184
زوجتى	407	7.16	1.6333	2595
العاطفة	408	7.16	1.2513	9013
صغيرى	409	7.16	1.2993	9637
تمتع	410	7.16	1.2182	7402
الافضل	411	7.16	1.3303	1326
أذكى	412	7.16	1.1493	5727
الطيب	413	7.16	1.0947	5914
أمان	414	7.16	1.4896	3620
يمزح	415	7.14	1.3095	8302
وأبي	416	7.14	1.5909	7562
العظيمة	417	7.14	1.3095	2842
مثالية	418	7.14	1.3095	4591
شقيقتي	419	7.14	1.3403	9463
لطيفة	420	7.14	1.1068	1111
معجزة	421	7.14	1.1782	3901
دولارات	422	7.14	1.5651	2832
لطيفه	423	7.14	0.9691	7278
أشكرك	424	7.14	1.1250	1115
أخي	425	7.14	1.1954	584
ولدي	426	7.14	1.5909	2100
الانترنت	427	7.14	1.3403	5957
حلوتي	428	7.14	1.1250	5949
الماس	429	7.14	1.4144	6051
الموسيقية	430	7.14	1.2124	6695
الموسيقى	431	7.14	1.4570	1032
لطفاء	432	7.14	1.0104	7879
شمس	433	7.14	1.0882	8320
تستمتع	434	7.12	1.4234	5502
جدتى	435	7.12	1.3649	6915
الشرف	436	7.12	1.2229	2646
بلادي	437	7.12	1.2879	7508
طفلا	438	7.12	1.1542	5494
موسيقية	439	7.12	1.1542	7394
الشكر	440	7.12	1.0622	3307
موهوب	441	7.12	1.0428	8152
طيبة	442	7.12	1.0622	2802
عادل	443	7.12	1.3498	3917
الأحلام	444	7.12	1.1364	3624
صديقي	445	7.12	1.3192	410
الوسيم	446	7.12	1.3797	6403
المحترمون	447	7.12	1.2558	5137
المثالي	448	7.12	1.2395	5993
ممتن	449	7.12	1.3192	8470
زواجنا	450	7.12	1.3944	6810
أصدقائنا	451	7.12	1.2558	9620
المطر	452	7.12	1.1891	2696
التخرج	453	7.12	1.2720	5990
جيدة	454	7.12	1.0029	205
موسيقى	455	7.12	1.2395	1970
ذكى	456	7.12	1.1891	8924
زوجك	457	7.12	1.5205	2022
صديقنا	458	7.12	1.1183	4556
أقوياء	459	7.10	1.0546	8404
الإنسانية	460	7.10	1.2817	7156
سررت	461	7.10	1.2330	2583
زهرة	462	7.10	1.1995	5151
عزيزتى	463	7.10	1.0546	1091
المال	464	7.10	1.2976	226
أسعد	465	7.10	1.2976	8025
والدة	466	7.10	1.5940	5289
كريم	467	7.10	1.2657	2386
للحفلة	468	7.10	1.2976	9508
أصدقائه	469	7.10	1.1650	9262
الوطن	470	7.10	1.6568	3608
مريح	471	7.10	0.9949	5541
المفضلة	472	7.10	1.1294	2913
بلدي	473	7.10	1.7642	4996
آمن	474	7.10	1.2330	1654
الأميرة	475	7.10	1.1995	2480
بأمان	476	7.10	0.9742	1971
البنات	477	7.10	1.2976	2235
ناعم	478	7.08	1.1400	8704
أختي	479	7.08	1.2911	1627
بارع	480	7.08	1.3068	4185
الأموال	481	7.08	1.2911	2476
مفيدة	482	7.08	1.0660	7088
المعجبين	483	7.08	1.3377	9060
العسل	484	7.08	1.1925	4139
نظيفة	485	7.08	1.0069	4538
الإله	486	7.08	1.7825	4253
أماه	487	7.08	1.5758	6190
عسل	488	7.08	1.0069	6842
أخيك	489	7.08	1.3974	4077
الفجر	490	7.08	1.0467	4302
الشاطئ	491	7.08	1.1578	2535
صديقك	492	7.08	1.1578	958
يلعبون	493	7.08	0.9655	6575
أخاك	494	7.08	1.4119	7093
مثالي	495	7.08	1.3827	2750
الأولاد	496	7.08	1.1925	1284
الموسيقي	497	7.08	1.3529	7987
طفله	498	7.08	1.1925	9365
أغنية	499	7.08	1.0069	2035
الأخت	500	7.08	1.4263	6106
يعجبنى	501	7.08	1.0069	8768
زوجي	502	7.08	1.6517	1494
الهدوء	503	7.06	1.3463	3377
تعجبك	504	7.06	1.1141	6341
سلام	505	7.06	1.5572	2122
معجبة	506	7.06	0.9775	4572
تكسب	507	7.06	1.3311	8723
النجاة	508	7.06	1.3001	5321
الفتيات	509	7.06	1.3463	687
النور	510	7.06	1.2191	3787
تعجبني	511	7.06	0.9982	4152
جديدة	512	7.06	1.0768	563
فنون	513	7.06	1.0382	8647
جدتي	514	7.06	1.3763	1799
ثقة	515	7.06	1.2022	5170
نجوت	516	7.06	1.2683	9602
الحلم	517	7.06	1.1141	2963
قلبى	518	7.06	1.2191	4760
الجليل	519	7.06	1.4201	9182
الآمن	520	7.06	1.2357	9199
أبناء	521	7.06	1.2683	3963
معجب	522	7.06	0.9775	2571
حامل	523	7.06	1.3001	2051
الزوج	524	7.04	1.7375	6563
الأعظم	525	7.04	1.5113	7039
طيب	526	7.04	1.2115	1404
الفاكهة	527	7.04	1.1945	9768
عظيما	528	7.04	1.1421	5752
مشهورة	529	7.04	1.1773	8919
أبيض	530	7.04	1.3991	2478
أشكركم	531	7.04	1.1945	6804
القلوب	532	7.04	0.9681	8029
بالأمان	533	7.04	1.3845	9917
قلبي	534	7.04	1.4422	1177
ولدى	535	7.04	1.5513	7520
أموال	536	7.04	1.5248	4439
تمزح	537	7.02	1.0398	1176
نرقص	538	7.02	1.2696	6943
المجد	539	7.02	1.2696	7576
الإبن	540	7.02	1.3775	8413
صاحبي	541	7.02	0.9145	4269
جيد	542	7.02	0.8204	78
الحديقة	543	7.02	0.9792	3055
الذهبية	544	7.02	1.2204	4989
ذهبية	545	7.02	1.1865	6561
الموهبة	546	7.02	1.2534	9055
ألعب	547	7.02	1.2370	2335
الطيبة	548	7.02	1.0200	8662
يلعب	549	7.02	1.1156	2099
الأشجار	550	7.02	1.2856	2939
صغيري	551	7.02	1.4213	3927
جيده	552	7.02	0.9145	1429
شقيق	553	7.02	1.2856	8634
السلامه	554	7.02	1.3323	8906
آمين	555	7.02	1.3169	3211
الفنون	556	7.02	1.0398	8710
شكرآ	557	7.02	1.2534	5755
جذاب	558	7.02	1.2036	6178
الحياه	559	7.02	1.5185	2317
المسرح	560	7.00	1.0880	2388
العلماء	561	7.00	1.2122	6188
إبن	562	7.00	1.6162	1077
مفاجأة	563	7.00	1.3997	1782
جديده	564	7.00	1.1249	4710
الكعكة	565	7.00	1.3093	5655
جديد	566	7.00	1.3553	366
الطعام	567	7.00	1.1429	571
صالح	568	7.00	1.1429	4254
أفضل	569	7.00	1.0880	137
هدوء	570	7.00	1.3401	2707
العب	571	7.00	1.2122	4206
ملكة	572	7.00	1.2617	2636
أختك	573	7.00	1.3093	2657
العزيز	574	7.00	1.0880	2922
مرحب	575	7.00	1.0302	8711
احترام	576	7.00	1.2122	7650
لعب	577	7.00	1.2936	1825
الاحترام	578	7.00	1.1429	5344
شكرا	579	7.00	1.0302	121
جيدا	580	6.98	1.1516	486
محترف	581	6.98	1.1516	3908
كعكة	582	6.98	1.1337	3865
متحمسة	583	6.98	1.0593	9681
لحفلة	584	6.98	1.1156	9154
الجديد	585	6.98	1.1692	555
الأغنياء	586	6.98	1.4068	9352
السينما	587	6.98	1.1865	5732
عاطفية	588	6.98	1.0200	9551
الرضيع	589	6.98	1.2696	6683
الألوان	590	6.98	1.2534	7431
المياة	591	6.98	1.3775	9583
ياعزيزي	592	6.98	1.0971	9305
صالحة	593	6.98	1.3626	9434
صديقه	594	6.98	1.1156	5010
للرب	595	6.98	1.4213	7369
اموال	596	6.98	1.5050	8945
يعجبك	597	6.98	0.9366	2921
جدك	598	6.98	1.7437	6345
مدهشة	599	6.96	1.3991	6349
اختك	600	6.96	1.4563	7717
أمها	601	6.96	1.4136	5579
مميز	602	6.96	1.0490	3292
صحتك	603	6.96	1.2447	6974
البحر	604	6.96	1.3547	913
موسيقي	605	6.96	1.4563	9720
البركة	606	6.96	1.2115	9820
الشمس	607	6.96	1.1773	825
أحلامك	608	6.96	1.4841	6046
مزحة	609	6.96	1.5113	2690
المرأة	610	6.96	1.3087	767
الدين	611	6.96	1.5381	3177
متزوجة	612	6.96	1.5903	4284
الفتاة	613	6.96	1.3547	387
اختي	614	6.96	1.2282	5964
الراحة	615	6.96	1.2282	2694
الجديده	616	6.96	1.1773	8679
إنجاز	617	6.96	1.0683	9958
الطبيعة	618	6.96	1.2115	2918
مسرحية	619	6.94	1.3311	6536
مذهلة	620	6.94	1.0184	4540
متحمس	621	6.94	1.0768	6278
حياه	622	6.94	1.3911	6882
صحيحا	623	6.94	1.1851	3775
أعجبك	624	6.94	1.0577	6308
جدى	625	6.94	1.3463	7310
عطلة	626	6.94	1.6587	1814
أرقص	627	6.94	1.3157	4762
ترقص	628	6.94	1.5039	4701
عزيز	629	6.94	1.2022	5948
أخوك	630	6.94	1.2191	4797
تغني	631	6.94	1.2191	6540
حياة	632	6.94	1.2357	499
والدته	633	6.94	1.7544	9101
مميزة	634	6.94	1.2521	5088
المحترم	635	6.94	1.3463	7184
السيرك	636	6.94	1.4201	8137
النقود	637	6.94	1.3157	798
الرياضة	638	6.94	1.3311	5007
لأبي	639	6.94	1.4765	9651
جديدا	640	6.94	1.1141	8396
عادلة	641	6.94	1.2191	7911
أمنية	642	6.94	1.3001	5479
الملكة	643	6.94	1.4765	2060
أبن	644	6.92	1.5365	4141
رياضية	645	6.92	1.1036	9027
like	646	6.92	1.3974	5754
الأغنية	647	6.92	1.0850	2613
صح	648	6.92	1.2591	1369
أباك	649	6.92	1.6142	3718
التحية	650	6.92	1.0069	5777
لنلعب	651	6.92	1.2095	9425
اللعبة	652	6.92	1.1578	918
طبيعية	653	6.92	1.3529	3351
زوجين	654	6.92	1.5497	8932
الرفيق	655	6.92	1.2911	6378
النجوم	656	6.92	1.0660	2370
أبني	657	6.92	1.5097	6433
الجديدة	658	6.92	1.1400	833
نجمة	659	6.92	1.1220	5299
بركة	660	6.92	1.3827	7601
الاموال	661	6.92	1.1925	6998
بسهولة	662	6.90	1.1650	1833
إبنه	663	6.90	1.3590	8239
نستمتع	664	6.90	1.2164	9058
نور	665	6.90	1.3439	9273
علاوة	666	6.90	1.3132	7748
مشاعر	667	6.90	1.0926	4594
حسنة	668	6.90	0.9742	8836
رقص	669	6.90	1.6444	4183
للعب	670	6.90	1.2164	4965
بالتوفيق	671	6.90	1.3286	8189
أعجبني	672	6.90	0.9949	8833
رياضة	673	6.90	1.2657	7868
شكر	674	6.90	1.1112	4627
نجوم	675	6.90	1.2164	5573
تلعب	676	6.90	0.9313	1320
الحظ	677	6.90	1.2817	877
حكيم	678	6.88	1.1891	7794
حلمي	679	6.88	1.1364	8669
آمل	680	6.88	1.1364	1291
اشكرك	681	6.88	1.0428	3339
التقدير	682	6.88	1.1891	9095
سهلة	683	6.88	1.1542	3633
الهي	684	6.88	1.7916	675
للزواج	685	6.88	1.4377	7118
الحرة	686	6.88	1.5471	8709
يتحسن	687	6.88	1.0230	9944
الجد	688	6.88	1.5732	5458
العائلات	689	6.88	1.2061	8383
المياه	690	6.88	1.4090	1459
أتحب	691	6.88	1.1364	9513
موافقة	692	6.88	1.2229	1360
رفيقي	693	6.88	1.1891	6322
بحر	694	6.88	1.3944	6449
أشكر	695	6.88	1.0230	7506
أبيك	696	6.88	1.7802	3462
بحرية	697	6.88	1.3192	5406
بصحة	698	6.86	1.1608	7005
مجانية	699	6.86	1.1954	6684
تتحسن	700	6.86	0.8332	5996
القوه	701	6.86	1.4429	9819
عصير	702	6.86	1.1954	3791
بلادنا	703	6.86	1.4144	9348
نلعب	704	6.86	1.1782	2632
نقود	705	6.86	1.4848	2106
لطف	706	6.86	0.9037	5138
مستقبلك	707	6.86	1.3704	9771
القدس	708	6.86	1.8518	7215
العلم	709	6.86	1.2938	2865
فطائر	710	6.86	1.1608	8801
إلهى	711	6.86	1.8184	1022
لامع	712	6.86	1.2618	8946
لأمك	713	6.86	1.5909	9938
الصباح	714	6.86	1.2618	458
جدي	715	6.86	1.4429	2083
حياتي	716	6.86	1.3554	361
يعزف	717	6.84	1.1132	9192
الفتاه	718	6.84	1.4194	2618
أغاني	719	6.84	1.0947	9721
الجيدة	720	6.84	1.0568	2064
فتاتك	721	6.84	1.3456	7272
آنستي	722	6.84	1.0947	9196
القمة	723	6.84	1.4758	4589
القوية	724	6.84	1.2835	8063
مستقبل	725	6.84	1.1132	4065
التطور	726	6.84	1.2675	9186
طيبا	727	6.84	1.1493	8084
شباب	728	6.84	1.6081	701
زوج	729	6.84	1.4758	1539
حظ	730	6.84	1.1669	1789
ابنته	731	6.84	1.2349	7613
منزلى	732	6.84	1.5032	5388
أمل	733	6.84	1.3303	1844
شقراء	734	6.84	1.1493	9543
حرة	735	6.84	1.1843	5738
المرأه	736	6.84	1.3456	5784
