Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank
gesunde	219	7.18	1.4665	--	3704	--
heaven	220	7.18	1.4665	--	4503	--
mutter	221	7.18	1.5868	1463	960	713
richtig	222	7.18	1.2237	698	328	757
enjoy	223	7.18	1.3952	--	1213	--
ideal	224	7.16	1.2993	3164	3815	2312
musik	225	7.16	1.3607	190	567	1155
gerne	226	7.16	1.0568	651	384	2818
geburt	227	7.16	1.3607	2320	--	2406
nette	228	7.16	1.1669	4915	2436	--
smileys	229	7.16	1.5434	3197	--	--
gorgeous	230	7.16	1.4479	--	4007	--
sexy	231	7.16	1.1132	2698	636	--
laugh	232	7.16	1.5032	--	2230	--
gutes	233	7.16	0.9971	1954	1044	2162
luck	234	7.14	1.3554	--	1861	--
pizza	235	7.14	1.2938	4239	1688	--
belohnung	236	7.14	1.1782	--	1334	--
sterne	237	7.14	1.3852	622	2852	--
vollkommenheit	238	7.14	1.4144	--	--	4932
willkommen	239	7.14	1.3852	683	1302	--
süßen	240	7.14	1.1430	--	4848	--
familien	241	7.14	1.5254	2257	4953	1760
befreien	242	7.14	1.1782	--	--	5080
gewonnenen	243	7.12	1.0622	--	--	4750
begeistert	244	7.12	1.3498	4483	4177	--
leben	245	7.12	1.3192	298	236	141
comedy	246	7.12	1.2395	3708	--	--
eltern	247	7.12	1.3797	901	1078	1041
befreit	248	7.12	1.1891	--	--	3914
beliebteste	249	7.12	1.4797	3896	--	--
geschenkt	250	7.12	1.1183	--	2844	--
#christmas	251	7.12	1.6368	--	1258	--
schöner	252	7.12	1.3649	3634	1402	--
gute	253	7.12	1.2395	389	174	747
mother	254	7.12	1.3346	--	2209	--
feuerwerk	255	7.10	1.3286	--	4225	--
hobby	256	7.10	1.1112	1731	--	--
hearts	257	7.10	1.3740	--	3106	--
hope	258	7.10	1.1824	--	301	--
welpen	259	7.10	1.5811	--	1950	--
naturschutz	260	7.10	1.3887	4830	--	--
free	261	7.10	1.3132	859	416	--
phantasie	262	7.10	1.5017	--	--	2443
mama	263	7.10	1.8323	5123	956	--
plätzchen	264	7.10	1.5286	--	3772	--
cool	265	7.08	1.1400	2734	251	--
spielen	266	7.08	1.1400	711	681	1298
kostenfrei	267	7.08	1.5365	2982	--	--
awesome	268	7.08	1.7594	--	513	--
reise	269	7.08	1.3377	690	2325	1742
konzert	270	7.08	1.3223	2639	1987	--
licht	271	7.08	1.1220	1603	1606	924
#gesundheit	272	7.08	1.5628	--	4143	--
toller	273	7.08	1.1400	--	2764	--
greatest	274	7.08	1.6142	--	4308	--
schöne	275	7.08	1.3377	1442	529	1970
hahahahaha	276	7.08	1.8827	--	3252	--
kunst	277	7.08	1.4405	554	1777	365
meer	278	7.06	1.4486	2339	2522	2512
intelligenz	279	7.06	1.3157	--	--	2973
heiraten	280	7.06	1.3001	--	4147	--
like	281	7.06	1.1323	2958	106	--
hihihi	282	7.06	1.6710	--	4628	--
anerkennung	283	7.06	1.1502	4693	--	1243
kostenlosen	284	7.06	1.3311	2343	5024	--
heart	285	7.06	1.2191	--	725	--
früchte	286	7.06	1.2843	--	--	4628
dream	287	7.06	1.2357	--	879	--
inspiration	288	7.06	0.9982	--	2959	--
chillen	289	7.06	1.6464	--	4740	--
talent	290	7.06	1.0382	--	3517	--
zuhause	291	7.06	1.1502	3342	905	--
x-mas	292	7.06	1.7544	--	1529	--
xmas	293	7.04	1.7138	--	1115	--
nett	294	7.04	1.0683	4814	1536	--
mom	295	7.04	1.3395	--	1208	--
vacation	296	7.04	1.7608	--	5027	--
ideen	297	7.04	1.1945	2103	2252	1019
girlfriend	298	7.04	1.5113	--	3478	--
einladung	299	7.04	1.2282	4271	--	--
ferienwohnungen	300	7.04	1.2610	1964	--	--
reichtum	301	7.02	1.5050	--	--	3996
freut	302	7.02	1.1865	--	1279	--
thanks	303	7.02	1.6224	--	253	--
sonderangebote	304	7.02	1.1865	2670	3355	--
win	305	7.02	1.2696	2716	933	--
gewann	306	7.02	1.3476	--	--	4291
weihnachtsfeier	307	7.02	1.7082	--	2186	--
best	308	7.02	1.5050	1196	199	--
massage	309	7.02	1.3626	4871	4252	--
warm	310	7.02	1.0593	--	1538	--
feier	311	7.02	1.3323	--	3492	--
advent	312	7.02	1.5451	--	808	--
frisch	313	7.00	1.1249	3114	2035	--
frohe	314	7.00	1.2617	--	536	--
hochwertige	315	7.00	1.0498	4308	4971	--
positiven	316	7.00	1.1952	--	--	1936
himmel	317	7.00	1.1952	3269	2132	1704
wärme	318	7.00	1.1066	--	3808	2994
mädels	319	7.00	1.5253	--	3288	--
retten	320	7.00	1.1952	--	3049	4338
opa	321	7.00	1.2936	--	3929	--
panorama	322	7.00	1.2454	2318	--	--
vollkommen	323	6.98	1.3323	--	--	1311
lust	324	6.98	1.1156	2404	672	2190
fein	325	6.98	1.0971	--	3995	4266
mut	326	6.98	1.3923	--	4539	3725
chance	327	6.98	1.1156	2130	842	3031
feiert	328	6.98	1.2696	--	2012	--
#gutschein	329	6.98	1.4068	--	2737	--
güte	330	6.98	1.2856	--	--	4649
honey	331	6.98	1.5713	--	2430	--
bedankt	332	6.98	0.9792	4556	--	--
gewinnt	333	6.98	1.6224	4297	1570	2553
fortschritt	334	6.96	1.1599	--	--	1740
hug	335	6.96	1.5381	--	2353	--
joke	336	6.96	1.3395	--	3917	--
idee	337	6.96	1.2115	1473	1058	638
respect	338	6.96	1.2771	--	3776	--
ferienwohnung	339	6.96	1.4841	1658	4302	--
highlights	340	6.96	1.2447	3980	--	--
silvester	341	6.96	1.7838	--	648	--
erfüllung	342	6.96	1.1773	4887	--	1818
respekt	343	6.96	1.3242	--	3169	--
celebrate	344	6.96	1.6777	--	3330	--
truth	345	6.96	1.4136	--	3248	--
eis	346	6.94	1.4486	4656	3389	--
christkind	347	6.94	1.9526	--	4783	--
nature	348	6.94	1.4902	--	--	4878
fliegen	349	6.94	1.0956	4090	3110	--
inseln	350	6.94	1.3463	3874	--	3799
tanzen	351	6.94	1.2843	--	3092	--
demokratie	352	6.94	1.2521	--	3516	1125
kindheit	353	6.94	1.1502	--	--	4258
abenteuer	354	6.94	1.4765	2896	3955	--
hugs	355	6.94	1.4344	--	3545	--
spiele	356	6.94	1.3311	417	1177	4879
breakfast	357	6.94	1.2521	--	4543	--
hahah	358	6.94	1.7660	--	1326	--
bücher	359	6.94	1.1141	306	1563	1723
gesunden	360	6.92	1.3529	--	--	3390
balkon	361	6.92	1.2262	3837	3879	--
tolle	362	6.92	1.3223	2330	938	--
tanz	363	6.92	1.2262	3669	--	--
erfolgreiche	364	6.92	1.2752	3991	--	--
sport	365	6.92	1.4546	194	1114	4669
sex	366	6.92	1.7243	1053	429	--
baum	367	6.92	1.3974	4817	2019	4122
gratis	368	6.92	1.3679	1002	630	--
health	369	6.92	1.5758	2948	3681	--
kostenloser	370	6.90	1.2657	2157	3254	--
spannend	371	6.90	1.2817	--	3056	--
friday	372	6.90	1.4178	--	1385	--
greetings	373	6.90	1.4743	--	3130	--
glühwein	374	6.90	1.5286	--	2558	--
fitness	375	6.90	1.3590	1620	3296	--
held	376	6.90	1.3740	--	--	4726
cute	377	6.90	1.6067	--	729	--
schwester	378	6.90	1.5286	--	1947	3250
chancen	379	6.90	1.1650	3255	4352	4013
kinder	380	6.90	1.4880	257	582	382
rose	381	6.88	1.4377	4274	3569	--
beziehung	382	6.88	1.2395	3294	3032	449
unterhaltung	383	6.88	1.2879	975	--	4182
besserung	384	6.88	1.0622	--	2057	--
frühstück	385	6.88	1.4090	3267	2559	--
flug	386	6.88	1.1891	2337	--	--
spiel	387	6.88	1.1364	628	607	1409
berührung	388	6.88	1.0812	--	--	3629
musiker	389	6.88	1.2720	4152	--	--
children	390	6.88	1.4934	--	3589	--
festival	391	6.88	1.2061	3075	3201	--
klarheit	392	6.88	1.0622	--	--	3060
#schnäppchen	393	6.88	1.7337	--	2800	--
bescherung	394	6.88	1.6860	--	4084	--
sweetie	395	6.88	1.4934	--	1992	--
daheim	396	6.88	1.2229	--	2905	--
bildung	397	6.88	1.2720	688	4666	507
date	398	6.88	1.3797	2256	1760	--
home	399	6.88	1.3649	99	499	--
clever	400	6.88	1.2229	1477	1222	--
kostenloses	401	6.88	1.4934	3683	2687	--
optimal	402	6.88	1.4658	4241	--	--
freundesliste	403	6.86	1.3704	2803	--	--
wald	404	6.86	1.4144	2004	3941	3147
baby	405	6.86	1.3999	921	532	--
qualität	406	6.86	1.0500	855	2971	1380
feelings	407	6.86	1.2456	--	4653	--
merci	408	6.86	1.4287	--	4109	--
katze	409	6.86	1.4144	4009	1647	--
zukunft	410	6.86	1.1430	948	1121	610
tochter	411	6.86	1.3095	2893	2734	2104
menschlicher	412	6.86	1.0500	--	--	3363
yeah	413	6.86	1.6661	--	274	--
stern	414	6.86	1.1608	2964	3349	4624
vielfalt	415	6.86	1.3095	4311	--	3827
bonus	416	6.86	1.3403	--	2798	--
lebendig	417	6.86	1.1430	--	--	3770
Überraschung	418	6.86	1.3852	--	4918	--
wünsche	419	6.86	1.1430	1951	391	2316
gefühle	420	6.86	1.1954	--	3568	2188
hallo	421	6.84	1.4896	356	231	--
dear	422	6.84	1.1843	--	885	--
park	423	6.84	1.1669	1725	1711	--
nikolaus	424	6.84	1.7654	--	1477	--
gerecht	425	6.84	1.2349	--	--	2342
jaaaa	426	6.84	1.8883	--	3378	--
künstlerischen	427	6.84	1.0174	--	--	2881
quality	428	6.84	1.2014	3923	5020	--
motivation	429	6.84	1.2513	--	--	4875
schmuck	430	6.84	1.2675	1099	--	--
interesting	431	6.84	1.2993	--	3176	--
vertraut	432	6.84	0.9971	--	--	4111
partner	433	6.84	1.2513	292	2016	2814
solidarität	434	6.84	1.0759	--	--	4214
künstlerische	435	6.84	1.1493	--	--	4048
stärke	436	6.84	1.1669	4689	--	1830
innovation	437	6.84	1.0947	4039	--	--
easy	438	6.84	1.1493	4077	1787	--
wasser	439	6.84	1.3903	699	1447	627
#adventskalender	440	6.84	1.8335	--	3456	--
lol	441	6.82	1.5077	--	213	--
beach	442	6.82	1.8148	3184	2838	--
fortschritte	443	6.82	1.0437	--	--	3508
gutschein	444	6.82	1.3354	4761	703	--
erinnerungen	445	6.82	1.3656	--	3835	2974
alive	446	6.82	1.2887	--	3612	--
ja	447	6.82	1.3656	128	39	151
wow	448	6.82	1.6249	3032	458	--
kino	449	6.82	1.3045	769	1766	--
#music	450	6.82	1.7106	--	1915	--
kultur	451	6.82	1.2728	426	2561	534
hoffnungen	452	6.82	1.1373	--	--	4123
vorteile	453	6.82	1.1008	1298	--	2662
schlaf	454	6.82	1.2567	--	929	--
zusammenarbeit	455	6.82	1.0631	1276	--	1033
vollendung	456	6.82	1.3200	--	--	3476
ferienhäuser	457	6.82	1.4097	3677	--	--
weisheit	458	6.80	1.2778	--	--	3385
spitze	459	6.80	1.3702	3894	3856	1465
erfolgreiches	460	6.80	1.2122	--	4012	--
farben	461	6.80	1.1066	1585	3190	2382
favoriten	462	6.80	1.2122	883	--	--
prost	463	6.80	1.1429	--	2863	--
talented	464	6.80	1.2289	--	4894	--
champions	465	6.80	1.4286	--	3694	--
malerei	466	6.80	1.2936	--	--	4065
gehalt	467	6.80	1.2122	4968	2954	2394
teddy	468	6.80	1.3851	--	2670	--
lieber	469	6.80	1.1780	1643	545	1767
garten	470	6.80	1.2617	558	2156	3686
vorbild	471	6.80	1.0880	--	--	2594
frauen	472	6.80	1.2617	567	656	376
magic	473	6.80	1.4569	4469	2568	--
famous	474	6.80	1.1606	--	4009	--
besser	475	6.80	0.9258	615	308	636
fit	476	6.80	1.4428	2761	1985	--
#kostenlos	477	6.80	1.6537	--	3186	--
schlafzimmer	478	6.80	1.3248	4338	--	--
frühjahr	479	6.80	1.3553	5057	--	3051
fresh	480	6.78	0.9957	--	3231	--
lösung	481	6.78	1.1301	1229	2332	642
child	482	6.78	1.3746	--	3255	--
interessant	483	6.78	1.0554	1852	1819	2697
guten	484	6.78	1.2982	976	172	764
mädchen	485	6.78	1.3138	1612	934	1320
kostenlose	486	6.78	1.3138	713	1862	--
künstler	487	6.78	1.2664	1411	4564	1590
entertainment	488	6.78	1.3138	1934	--	--
dad	489	6.78	1.4039	--	1811	--
strahlen	490	6.78	1.3596	--	--	4367
concert	491	6.78	1.1657	--	1770	--
parents	492	6.78	1.3596	--	2629	--
verbesserung	493	6.78	1.2824	3154	--	1874
feeling	494	6.78	1.3138	--	1251	--
café	495	6.78	1.1301	2325	4718	--
bruder	496	6.78	1.2002	4002	1835	2015
cafe	497	6.76	1.3180	2946	--	--
neujahr	498	6.76	1.4507	--	4115	--
#xmas	499	6.76	1.6358	--	1112	--
dancing	500	6.76	1.6107	--	3651	--
energy	501	6.76	1.1528	4423	2912	--
wunsch	502	6.76	1.4786	2213	2685	1509
photography	503	6.76	1.4078	--	4540	--
spanien	504	6.76	1.4786	810	3449	2141
schwangerschaft	505	6.76	1.4647	3028	--	--
gifts	506	6.76	1.6233	--	4892	--
günstig	507	6.76	1.0797	1762	1576	3860
gern	508	6.76	1.1528	1758	727	1671
frau	509	6.76	1.4078	409	420	345
gefühl	510	6.76	1.2867	3107	1558	986
verbessern	511	6.76	1.0797	2709	4699	4161
erster	512	6.76	1.3024	1079	1511	667
anerkennen	513	6.76	1.0606	--	--	4804
helfen	514	6.74	1.2747	864	1316	1943
verschenken	515	6.74	1.3063	4254	1981	--
sehenswürdigkeiten	516	6.74	1.4542	4145	--	--
sauber	517	6.74	1.0063	--	3660	--
erlebnis	518	6.74	1.3524	--	--	4080
hilfreich	519	6.74	1.0063	910	--	--
favorite	520	6.74	1.2090	--	1146	--
unabhängig	521	6.74	1.0063	2506	--	1283
horizont	522	6.74	1.1572	--	--	4833
küste	523	6.74	1.5093	--	--	4028
bravo	524	6.74	1.5093	--	4851	--
wünschen	525	6.74	1.4542	2163	874	2222
disney	526	6.74	1.4115	--	2970	--
zustimmung	527	6.74	1.0063	3440	--	1710
schwimmen	528	6.74	1.4682	4779	--	--
individualität	529	6.72	1.1613	--	--	3792
gebildet	530	6.72	1.2129	--	--	1491
woman	531	6.72	1.2943	--	2037	--
sicherheit	532	6.72	1.2943	520	2082	782
jugend	533	6.72	1.0887	1356	4370	1124
richtige	534	6.72	1.3559	1689	1612	1915
thank	535	6.72	1.3708	--	223	--
girl	536	6.72	1.2461	4046	377	--
girls	537	6.72	1.3099	2273	864	--
wissen	538	6.72	1.2784	261	524	289
lebendige	539	6.72	1.0887	--	--	4005
verdienst	540	6.72	1.2296	--	--	3436
gefällt	541	6.72	1.4714	2745	802	--
premium	542	6.72	1.2129	1248	3720	--
erfindung	543	6.72	1.1613	3902	--	4313
erleichtert	544	6.72	1.0698	--	--	4542
landschaft	545	6.72	1.3708	3666	--	2554
menschliche	546	6.72	1.0887	--	--	1294
geschafft	547	6.70	1.2495	--	1833	--
ausgehen	548	6.70	1.3439	--	--	2914
ideale	549	6.70	1.0738	--	--	3318
film	550	6.70	1.2495	446	519	2387
verstand	551	6.70	1.1995	--	--	1497
schlafen	552	6.70	1.3132	--	484	--
#muchlove	553	6.70	1.7642	--	1821	--
wein	554	6.70	1.4743	2352	2762	4000
haustiere	555	6.70	1.6194	2989	--	--
gutem	556	6.70	1.3286	--	5026	--
schmecken	557	6.70	1.1112	--	5057	--
idea	558	6.70	1.0546	--	1813	--
gedicht	559	6.70	1.1112	--	--	2778
weltweit	560	6.70	1.3286	1020	2556	--
better	561	6.70	1.2164	--	489	--
restaurant	562	6.70	1.2976	981	2760	--
lego	563	6.70	1.4743	--	3572	--
saturday	564	6.70	1.4178	--	2716	--
stolz	565	6.70	1.1824	4891	2644	3046
sleeping	566	6.70	1.2164	--	3644	--
cinema	567	6.68	1.3915	--	4672	--
buch	568	6.68	1.4348	585	763	554
hot	569	6.68	1.2848	2382	612	--
#sex	570	6.68	1.8120	--	2452	--
relationship	571	6.68	1.4490	--	3892	--
gutscheine	572	6.68	1.3768	2760	4248	--
million	573	6.68	1.5836	--	1589	--
konzerte	574	6.68	1.2688	2498	--	--
insel	575	6.68	1.4348	2176	2966	2615
keks	576	6.68	1.2196	--	4136	--
paris	577	6.68	1.4630	1354	1667	527
true	578	6.68	1.3316	--	570	--
grüße	579	6.68	1.1507	1176	1757	--
neuigkeiten	580	6.68	1.3316	1745	--	--
versandkostenfrei	581	6.68	1.5444	1730	--	--
world	582	6.68	1.3005	790	304	2789
kunstwerk	583	6.68	1.3468	--	--	4971
pflanzen	584	6.68	1.2027	1868	--	2009
fine	585	6.68	1.4348	--	1284	--
schick	586	6.68	1.3768	--	2216	--
deluxe	587	6.68	1.4769	4256	4013	--
frische	588	6.68	0.9134	--	3788	--
unterstützen	589	6.68	1.1683	1584	4475	2782
mai	590	6.68	1.3915	396	3683	536
tierwelt	591	6.66	1.4086	3947	--	--
movie	592	6.66	1.1886	2168	994	--
kind	593	6.66	1.3342	710	774	788
favourite	594	6.66	1.1178	--	2663	--
liked	595	6.66	1.2715	--	186	--
b-day	596	6.66	2.0465	--	4061	--
food	597	6.66	1.3032	4726	1883	--
yes	598	6.66	1.4930	--	309	--
fantasy	599	6.66	1.3644	3527	4174	--
sunday	600	6.66	1.9651	--	2356	--
juni	601	6.66	1.2715	491	--	649
fahrrad	602	6.66	1.3188	3760	3954	--
proud	603	6.66	1.6612	--	1161	--
sternen	604	6.66	1.3940	1660	--	--
selbständigkeit	605	6.66	1.0224	--	--	3407
tee	606	6.66	1.2715	3794	1909	--
freitag	607	6.66	1.4230	757	759	--
ruhe	608	6.66	1.1537	3158	1693	1555
golden	609	6.66	1.2715	--	3514	--
vorzüglich	610	6.66	1.1713	--	--	4371
interessieren	611	6.66	1.1359	2912	4996	--
rabatt	612	6.66	1.0422	--	1670	--
gemüse	613	6.66	1.3188	3697	--	--
