Word	Havg	StDev	GoogleRank
春天	199	6.66	1.2875	3141
优点	200	6.66	1.5858	3064
赢利	201	6.64	1.5354	9696
收益	202	6.64	1.2739	1582
欢迎	203	6.64	1.6753	1435
好看	204	6.64	1.1563	9106
天真	205	6.64	1.5354	8838
丰富	206	6.64	1.4394	888
奇妙	207	6.64	1.5487	9690
希望	208	6.64	1.3815	576
好好	209	6.64	1.4813	4609
和睦	210	6.64	1.5877	9755
好感	211	6.62	1.2919	8896
盛大	212	6.62	1.1586	8310
免费	213	6.62	1.7130	4935
优惠	214	6.62	1.3384	2311
家	215	6.62	1.7715	190
妈	216	6.62	1.7715	5453
宽容	217	6.62	1.3384	9184
明亮	218	6.62	1.3076	8202
巧妙	219	6.62	1.1586	4829
勇敢	220	6.62	1.6149	3384
正直	221	6.62	1.3834	8575
欣慰	222	6.60	1.5253	7558
忠实	223	6.60	1.7379	4693
表彰	224	6.60	1.6413	5724
取胜	225	6.60	1.4142	8197
盈利	226	6.60	1.6782	3008
佳	227	6.60	1.6288	1954
玫瑰	228	6.60	1.4142	7717
难能可贵	229	6.60	1.6162	9235
歌唱	230	6.60	1.7496	7607
风景	231	6.60	1.4428	3575
报酬	232	6.60	1.6036	3048
赞同	233	6.60	1.4846	4179
好人	234	6.60	1.7023	5578
妙	235	6.58	1.7034	7761
祖母	236	6.58	1.7034	8607
情趣	237	6.58	1.4299	7965
赏	238	6.58	1.2304	8245
独创	239	6.58	1.3415	6103
热闹	240	6.58	1.1796	4248
才智	241	6.58	1.6671	6399
旅游	242	6.58	1.4721	1110
荣获	243	6.58	1.7390	6055
珍惜	244	6.58	1.2469	8177
吉	245	6.58	1.7853	5795
坚强	246	6.58	1.2304	4636
一流	247	6.56	1.4868	4874
细心	248	6.56	1.2480	7997
盛名	249	6.56	1.3874	8412
分红	250	6.56	1.5005	7982
放心	251	6.56	1.3118	3698
神仙	252	6.56	1.6801	9311
发扬光大	253	6.56	1.7280	9595
好转	254	6.56	1.3118	3906
理想	255	6.56	1.6679	1169
感人	256	6.56	1.2149	6212
英雄	257	6.56	1.6801	2222
赞助	258	6.56	1.3273	7392
赞	259	6.56	1.9811	7379
和谐	260	6.54	1.5806	4395
上进	261	6.54	1.4598	7518
灵感	262	6.54	1.4316	7189
优化	263	6.54	1.0730	1998
永恒	264	6.54	1.7404	4906
友好	265	6.54	1.5546	2087
大自然	266	6.54	1.5677	4612
珠宝	267	6.54	1.3734	9956
慷慨	268	6.54	1.8758	8043
淋漓尽致	269	6.54	1.1466	9739
正确	270	6.54	1.7168	440
春节	271	6.54	2.0919	4600
有益	272	6.54	1.4316	2398
可靠	273	6.54	1.1988	1871
功劳	274	6.54	1.5414	8724
日新月异	275	6.54	1.3126	9499
真实	276	6.54	1.4875	1052
财富	277	6.54	1.6807	2161
进取	278	6.52	1.2974	4592
父母	279	6.52	1.9085	1586
真心	280	6.52	1.4879	7530
强大	281	6.52	1.5285	1584
善	282	6.52	1.8097	3200
利润	283	6.52	1.5810	1220
灵活	284	6.52	1.1110	1916
造福	285	6.52	1.4032	9525
周末	286	6.52	1.5939	8749
英勇	287	6.52	1.4879	4881
亲	288	6.50	1.2330	3007
宏伟	289	6.50	1.4604	4896
友谊	290	6.50	1.4743	3050
洋溢	291	6.50	1.4743	9547
昌盛	292	6.50	2.0025	9723
康复	293	6.50	1.3439	7357
优势	294	6.50	1.4321	837
高档	295	6.50	1.5286	8186
我家	296	6.50	1.4604	5893
雄厚	297	6.50	1.3740	5773
充裕	298	6.50	1.2495	7543
朋友	299	6.50	1.7053	1047
信心	300	6.50	1.4604	2258
强国	301	6.48	1.4602	5104
独立自主	302	6.48	1.4177	4702
致富	303	6.48	1.5285	6671
高级	304	6.48	1.4879	1227
明朗	305	6.48	1.5016	7222
关心	306	6.48	1.1292	1520
生动	307	6.48	1.0544	2862
神圣	308	6.48	1.5016	3538
爱护	309	6.48	1.4177	7052
年轻	310	6.48	1.5418	1400
勇气	311	6.48	1.3738	3359
宁静	312	6.48	1.3886	7248
奋斗	313	6.48	1.3438	1625
精致	314	6.48	1.5680	8694
盈	315	6.46	1.4737	6824
永远	316	6.46	1.4875	1708
崇拜	317	6.46	1.1988	4332
生日	318	6.46	1.8429	6306
畅销	319	6.46	1.3126	6007
精细	320	6.46	1.2157	7419
勤劳	321	6.46	1.5147	8501
强	322	6.46	1.3584	802
胜任	323	6.46	1.4458	7016
鉴赏	324	6.46	1.5935	8626
美人	325	6.46	1.8429	9903
宏大	326	6.46	1.5281	7175
哈	327	6.44	1.6433	2824
太阳	328	6.44	1.5005	2386
智	329	6.44	1.6801	6942
提高	330	6.44	1.2316	186
健身	331	6.44	1.2643	8872
纯洁	332	6.44	1.5928	6701
斗志	333	6.44	1.3273	7545
善意	334	6.44	1.7398	9403
信誉	335	6.44	1.6056	5069
礼物	336	6.44	1.2961	5362
推崇	337	6.44	1.2149	7631
焕发	338	6.44	1.1278	7498
神奇	339	6.44	1.4868	5999
休闲	340	6.42	1.3566	7535
老婆	341	6.42	1.6424	5367
声誉	342	6.42	1.1445	5385
兴趣	343	6.42	1.1082	1449
美化	344	6.42	1.3262	6855
创造	345	6.42	1.4581	503
明智	346	6.42	1.8305	7136
乐园	347	6.42	1.6299	9384
深厚	348	6.42	1.2304	4682
完善	349	6.42	1.3716	870
平和	350	6.42	1.5398	8498
妹妹	351	6.42	1.5791	5103
顽强	352	6.42	1.4299	4826
奶奶	353	6.42	1.9493	7477
风光	354	6.42	1.4299	8483
受益	355	6.42	1.3864	3945
歌颂	356	6.42	1.8962	7495
开明	357	6.42	1.1796	7104
熟练	358	6.42	1.4995	4697
亲属	359	6.40	1.6413	4150
自力更生	360	6.40	1.2617	5546
梦想	361	6.40	1.8736	5162
舒	362	6.40	1.1249	5514
公平	363	6.40	1.5386	2098
上帝	364	6.40	1.5908	3042
父亲	365	6.40	1.7023	1248
改善	366	6.40	0.9897	917
安定	367	6.40	1.3997	2698
爱情	368	6.40	1.9483	3117
开阔	369	6.40	1.2936	6072
景色	370	6.40	1.3401	6216
增值	371	6.40	1.3401	4102
时尚	372	6.40	1.4708	6346
富翁	373	6.40	2.1665	9521
妻	374	6.40	1.4708	7812
顶峰	375	6.40	1.6162	8696
优待	376	6.40	1.5386	6100
黄金	377	6.40	1.7496	3508
动人	378	6.40	1.5779	4820
葡萄酒	379	6.38	1.4126	8858
振奋	380	6.38	1.3686	6033
辽阔	381	6.38	1.4553	6183
现代化	382	6.38	1.4270	613
升值	383	6.38	1.4968	6971
积极	384	6.38	1.6274	365
奖学金	385	6.38	1.9784	8843
朝气	386	6.38	1.6149	8040
友	387	6.38	1.2436	2934
高明	388	6.38	1.5372	8742
看好	389	6.38	1.1933	8945
宝	390	6.38	1.5765	6073
崇敬	391	6.38	1.7484	9530
成就	392	6.38	1.8614	1643
益	393	6.36	1.1911	1955
活跃	394	6.36	1.5487	2659
谢	395	6.36	1.4950	6045
青春	396	6.36	1.5086	5121
奋起	397	6.36	1.2898	9274
互助	398	6.36	1.3056	3352
修养	399	6.36	1.0254	3994
小康	400	6.36	1.5487	4311
创造性	401	6.36	1.6753	2344
崭新	402	6.36	1.6005	4233
准确	403	6.36	1.2081	1601
适宜	404	6.36	1.0835	3358
老家	405	6.36	1.5086	9301
休假	406	6.36	1.5354	8703
有名	407	6.36	1.0645	4665
蓬勃	408	6.34	1.2715	3516
衷心	409	6.34	1.4230	6356
精通	410	6.34	1.5334	9884
享乐	411	6.34	1.4930	8070
珍珠	412	6.34	1.4792	8376
舞蹈	413	6.34	1.2875	3287
祖国	414	6.34	1.7096	1445
友人	415	6.34	1.6856	8355
充足	416	6.34	1.7215	4101
放松	417	6.34	1.5066	3674
彩	418	6.34	1.4514	6213
良性	419	6.34	1.1537	5098
赚	420	6.34	1.5334	5760
节日	421	6.34	1.5201	3955
安全	422	6.34	1.4514	552
健全	423	6.34	1.6734	1778
信用	424	6.34	1.1359	1803
毅力	425	6.32	1.4490	7245
唱歌	426	6.32	1.3468	9040
领悟	427	6.32	1.3468	9458
环保	428	6.32	1.2848	3383
特长	429	6.32	1.1856	7519
母	430	6.32	1.5043	3746
北大	431	6.32	1.6591	5704
稳	432	6.32	1.1856	4053
忠	433	6.32	1.6218	9757
旅行	434	6.32	1.5964	3822
最高	435	6.32	1.5964	824
广阔	436	6.32	1.3468	2399
廉政	437	6.32	1.5312	4917
知名	438	6.32	1.3316	4605
创意	439	6.32	1.1683	9395
营养	440	6.32	1.3468	2997
充实	441	6.32	1.4061	2685
故乡	442	6.32	1.4630	4296
人材	443	6.30	1.3286	9558
和美	444	6.30	1.7409	9559
认真	445	6.30	1.4033	1029
活着	446	6.30	1.2164	5820
益处	447	6.30	1.4604	8210
潜能	448	6.30	1.2330	9286
果实	449	6.30	1.1995	7636
女儿	450	6.30	1.6067	2884
花	451	6.30	1.5811	1903
雄心	452	6.30	1.1294	9421
山水	453	6.30	1.3132	9126
爷爷	454	6.30	1.4033	8744
收获	455	6.30	1.6444	4585
绅士	456	6.30	1.5419	7305
乐于	457	6.30	1.2164	8271
金	458	6.30	1.4463	890
真切	459	6.30	1.0546	7917
新鲜	460	6.30	1.5811	4584
荣	461	6.30	1.5940	5383
新颖	462	6.30	1.3740	6965
活力	463	6.30	1.5811	1965
勤工俭学	464	6.28	1.3407	9865
可观	465	6.28	1.2129	4753
生命	466	6.28	1.6041	880
未来	467	6.28	1.4003	1154
慧	468	6.28	1.1073	9928
积极性	469	6.28	1.7384	1311
干净	470	6.28	1.5391	7979
文明	471	6.28	1.5258	875
不错	472	6.28	1.5654	4738
气质	473	6.28	1.4148	4669
贡献	474	6.28	1.7266	913
净化	475	6.28	1.1436	7082
迎接	476	6.28	1.2784	3957
君子	477	6.28	1.5391	8824
姐姐	478	6.28	1.4988	6058
公正	479	6.28	2.0408	2697
智能	480	6.28	1.2129	4276
娱乐	481	6.28	1.7501	2812
宽阔	482	6.28	1.2784	8988
升	483	6.28	1.2943	2485
跳舞	484	6.28	1.4714	7336
愿望	485	6.28	1.2129	2495
高大	486	6.28	1.2129	6341
亲友	487	6.28	1.5524	8443
真理	488	6.28	1.4574	1675
高潮	489	6.28	1.6293	2736
尊	490	6.28	1.2129	7769
礼品	491	6.26	1.1395	9243
领先	492	6.26	1.6759	4348
壮大	493	6.26	1.3219	3073
观赏	494	6.26	1.4542	8062
饱	495	6.26	1.3969	9117
十分	496	6.26	1.3219	486
勇于	497	6.26	1.5361	5285
努力	498	6.26	1.2586	525
趣	499	6.26	1.3063	5920
花卉	500	6.26	1.5754	8165
羡慕	501	6.26	1.3219	8253
见效	502	6.26	1.4259	9329
国庆	503	6.26	1.6880	7174
人才	504	6.26	1.6513	872
香	505	6.26	1.5493	7288
财源	506	6.26	1.7001	7375
才干	507	6.26	1.2906	9751
太平	508	6.26	1.4401	3408
良好	509	6.24	1.7445	1079
精品	510	6.24	1.7562	9927
安心	511	6.24	1.5592	8370
绿色	512	6.24	1.3486	3898
便利	513	6.24	1.4786	3288
豪华	514	6.24	2.0260	9756
捐赠	515	6.24	1.4647	6936
勇士	516	6.24	1.7445	9330
尊严	517	6.24	1.6483	4795
增强	518	6.24	1.2382	1064
热爱	519	6.24	1.6483	3716
单纯	520	6.24	1.5328	2432
超越	521	6.24	1.5194	2122
忠于	522	6.24	1.2707	7461
新奇	523	6.24	1.4078	9560
轻而易举	524	6.24	1.3180	8902
勤	525	6.24	1.3637	9869
清晰	526	6.24	1.1350	2896
宝座	527	6.24	1.5722	9817
实事求是	528	6.24	1.6606	3109
长处	529	6.24	1.5059	5493
家人	530	6.24	1.6728	5035
缘	531	6.24	1.5328	8719
充沛	532	6.24	1.7562	7476
闻名	533	6.24	1.6358	7497
坚信	534	6.24	1.4223	8283
年青	535	6.24	1.4223	9131
敬	536	6.24	1.2545	7851
高昂	537	6.24	1.9226	9688
钱	538	6.24	1.2867	1255
惠	539	6.22	1.2982	7517
尖端	540	6.22	1.4748	7740
绿化	541	6.22	1.6573	6917
营利	542	6.22	1.3138	5529
自立	543	6.22	1.3293	9682
实惠	544	6.22	1.6449	8257
好处	545	6.22	1.1830	2793
相辅相成	546	6.22	1.1657	6929
成果	547	6.22	1.6695	867
艺术	548	6.22	1.3138	334
理解	549	6.22	1.5425	741
长城	550	6.22	1.6695	7269
良心	551	6.22	1.5022	6620
音乐	552	6.22	1.5158	1055
成熟	553	6.22	1.5292	1842
圣诞	554	6.22	1.8327	9110
祝	555	6.20	1.3997	9279
决心	556	6.20	1.3093	1970
偶像	557	6.20	1.7261	8789
趣味	558	6.20	1.6782	5317
聚会	559	6.20	1.1429	8191
长久	560	6.20	1.4569	4449
升级	561	6.20	1.3401	3046
大学	562	6.20	1.6162	436
怀抱	563	6.20	1.3851	8251
生命力	564	6.20	1.5779	3274
享有	565	6.20	1.1780	1995
捐献	566	6.20	1.4569	9074
一视同仁	567	6.20	1.0102	9889
弘扬	568	6.20	1.5386	6107
激情	569	6.20	1.6660	5395
姑娘	570	6.20	1.4428	2366
抱负	571	6.20	1.2454	9095
康	572	6.20	1.2778	4972
精明	573	6.20	1.6162	9308
德	574	6.20	1.3553	1067
爱国	575	6.18	1.6622	1876
自由	576	6.18	1.9659	472
星期日	577	6.18	1.6986	8044
隆重	578	6.18	1.5996	7013
精心	579	6.18	1.5077	5134
丰	580	6.18	1.7922	4251
大海	581	6.18	1.3045	6112
责任感	582	6.18	1.2728	4676
水果	583	6.18	1.5211	6360
典范	584	6.18	1.5077	6291
坚持	585	6.18	1.4097	564
暑假	586	6.18	1.6249	7320
有利	587	6.18	1.5077	1427
效益	588	6.18	1.4803	558
著名	589	6.18	1.6374	1264
电影院	590	6.18	1.4665	7282
诚	591	6.18	1.3805	8873
实话	592	6.18	1.2403	8372
婚	593	6.18	1.1726	4730
礼	594	6.18	1.1373	5270
互惠	595	6.18	1.2728	7525
前景	596	6.18	1.2403	2907
增高	597	6.18	0.9624	8259
仙	598	6.18	1.4525	8833
敏锐	599	6.18	1.3354	5365
赢得	600	6.16	1.6826	3890
娘	601	6.16	1.4758	6658
典礼	602	6.16	1.2014	6668
床上	603	6.16	1.5566	5743
美金	604	6.16	1.8556	9625
威望	605	6.16	1.7066	8154
高产	606	6.16	1.4619	6569
圣人	607	6.16	1.5954	9794
保养	608	6.16	1.4049	8697
务实	609	6.16	1.1493	7380
兴致	610	6.16	1.3149	7737
发展	611	6.16	1.2513	23
幸	612	6.16	1.3149	6044
乐曲	613	6.16	1.4049	8081
父	614	6.16	1.7884	5420
要好	615	6.16	1.2675	8579
增产	616	6.16	1.1843	3626
赠送	617	6.16	1.4479	9477
气魄	618	6.16	1.2349	9896
安宁	619	6.16	1.5434	7809
同心	620	6.16	1.3303	9196
团结	621	6.16	1.8335	1204
客气	622	6.16	1.1132	8398
前所未有	623	6.16	1.4194	4770
闲暇	624	6.16	1.1314	9401
品德	625	6.14	1.3704	7402
帮助	626	6.14	1.1608	698
心愿	627	6.14	1.4429	9223
充满	628	6.14	1.3554	1788
远见	629	6.14	1.2938	7028
对	630	6.14	1.4429	19
儿女	631	6.14	1.5909	5094
增收	632	6.14	1.5120	7859
认同	633	6.14	1.3250	3897
顺	634	6.14	1.6904	4975
榜样	635	6.14	1.5254	5099
皇后	636	6.14	1.4429	8606
非凡	637	6.14	1.6037	8192
分享	638	6.14	1.3704	4981
熟悉	639	6.12	1.0622	1773
壮年	640	6.12	1.4377	8108
享	641	6.12	1.1542	2889
现金	642	6.12	1.2395	2521
细致	643	6.12	1.2558	3541
亲戚	644	6.12	1.7100	4750
愿意	645	6.12	1.6616	1665
天然	646	6.12	1.2061	3973
经典	647	6.12	1.2395	4016
高等	648	6.12	1.2395	1430
诗意	649	6.12	1.5205	9902
相信	650	6.12	1.2720	1411
增幅	651	6.12	1.2229	6614
亮	652	6.12	1.2061	4294
显著	653	6.12	1.1891	1414
同意	654	6.12	1.5070	1051
上升	655	6.12	1.2061	1101
清华	656	6.12	1.5338	7653
信仰	657	6.12	1.5990	2015
接纳	658	6.12	1.0812	8380
好多	659	6.12	1.1718	7112
存款	660	6.12	1.2720	1883
清醒	661	6.12	1.3797	3397
录用	662	6.12	1.4797	8029
温和	663	6.12	1.1364	8714
明晰	664	6.12	1.2558	7064
工资	665	6.12	1.4090	665
元旦	666	6.12	1.5205	8877
拥有	667	6.12	1.3192	1057
良知	668	6.12	1.5338	9622
森林	669	6.12	1.6117	1933
霞	670	6.10	1.3590	9901
高	671	6.10	1.4880	208
刻苦	672	6.10	1.4033	9115
安静	673	6.10	1.4321	5936
清洁	674	6.10	1.1112	4846
关切	675	6.10	1.3132	5784
期待	676	6.10	1.3286	4413
才能	677	6.10	1.3887	482
奥运会	678	6.10	1.6812	6050
承诺	679	6.10	1.4033	3305
抒情	680	6.10	1.1294	6322
姊	681	6.10	1.5551	7241
有用	682	6.10	1.3590	3410
声望	683	6.10	1.5419	7396
同胞	684	6.10	1.2495	3421
至高无上	685	6.10	1.8654	9546
特别	686	6.10	1.2976	245
明白	687	6.10	1.2164	1734
超级	688	6.10	1.3740	4654
经验	689	6.10	1.2330	406
补贴	690	6.10	1.3439	2001
游泳	691	6.10	1.3286	7238
心灵	692	6.10	1.5811	3412
深造	693	6.10	1.4880	9118
优先	694	6.10	1.5551	2155
新品	695	6.10	1.1824	9785
鲜	696	6.10	1.1473	6392
擅长	697	6.10	1.1995	9175
辛勤	698	6.10	1.6933	6757
觉醒	699	6.10	1.1995	4993
简洁	700	6.10	1.4178	8132
薪金	701	6.10	1.3590	7565
开放	702	6.10	1.1294	571
深信	703	6.08	1.4686	6803
祖父母	704	6.08	1.5758	8997
家园	705	6.08	1.5097	8122
下班	706	6.08	1.7478	9582
财	707	6.08	1.4824	2859
足够	708	6.08	1.3068	2275
先进	709	6.08	1.5628	785
民主	710	6.08	1.6884	337
神	711	6.08	1.4686	1686
永久	712	6.08	1.2095	3758
耐用	713	6.08	1.2428	9718
高涨	714	6.08	1.5628	3954
探亲	715	6.08	1.3223	9002
划时代	716	6.08	1.2095	7956
复活	717	6.08	1.3679	8071
粮食	718	6.08	1.4961	747
潜力	719	6.08	1.6884	2310
巧	720	6.08	1.3377	7416
假期	721	6.08	1.7361	8224
中国	722	6.06	1.6587	36
合格	723	6.06	1.3614	3181
晨	724	6.06	1.1141	4652
举世	725	6.06	1.2683	7181
巴黎	726	6.06	1.3614	2826
赠	727	6.06	1.3311	9537
首饰	728	6.06	1.4902	8830
老实	729	6.06	1.2521	4845
机遇	730	6.06	1.3001	3393
录取	731	6.06	1.4765	7287
夫妻	732	6.06	1.2191	4244
开玩笑	733	6.06	1.4626	9664
高新	734	6.06	1.2357	3209
收成	735	6.06	1.6587	9231
前进	736	6.06	1.1323	1983
节约	737	6.06	1.2022	2209
well	738	6.06	1.4201	9930
家乡	739	6.06	1.5572	4221
蓝图	740	6.06	1.5572	9238
成效	741	6.06	1.3763	2681
支持	742	6.06	1.2843	542
国王	743	6.06	1.5440	3960
卓识	744	6.06	1.6340	9317
援助	745	6.06	1.4626	2047
情感	746	6.04	1.3242	2115
金钱	747	6.04	1.4136	4295
主动	748	6.04	1.1241	1889
坚定	749	6.04	1.2447	2232
中國	750	6.04	1.8948	4106
融通	751	6.04	1.1241	7824
增多	752	6.04	1.4136	2723
人民币	753	6.04	1.6031	1925
合理	754	6.04	1.1599	570
扩展	755	6.04	1.0490	2430
清楚	756	6.04	1.1599	919
妥善	757	6.04	1.5903	3828
恰好	758	6.04	1.1773	6995
稳健	759	6.04	1.4841	9929
包容	760	6.04	1.7492	9678
回升	761	6.04	1.2115	5127
活动	762	6.04	1.4978	129
楷模	763	6.04	1.8948	9203
锻炼	764	6.04	1.3547	3030
情调	765	6.04	1.2447	9071
骨干	766	6.04	1.6408	3656
拥护	767	6.04	1.4280	2643
强劲	768	6.04	1.7019	6497
圣经	769	6.04	1.5113	6641
校园	770	6.04	1.1773	6366
发明	771	6.04	0.9889	2464
海洋	772	6.04	1.5113	2250
宴会	773	6.04	1.4136	7442
瞩目	774	6.04	1.4563	6048
名人	775	6.04	1.2115	6814
新兴	776	6.04	1.2771	2667
鲜明	777	6.04	1.3547	2148
悠久	778	6.04	1.1945	3363
容易	779	6.02	1.2856	986
剑桥	780	6.02	1.3923	9373
中华	781	6.02	1.7319	697
大气	782	6.02	1.2856	4115
春	783	6.02	1.1516	6721
头等	784	6.02	1.3775	9915
苹果	785	6.02	1.3169	6080
超前	786	6.02	1.5713	5861
保护	787	6.02	1.5050	423
浩大	788	6.02	1.4213	6311
子女	789	6.02	1.1865	2308
技艺	790	6.02	1.2370	9134
小女	791	6.02	1.4213	8486
坚实	792	6.02	1.2204	3650
情人	793	6.02	1.7553	8992
